geneID	baseMean	log2FC_Vs-VS	log2FC_vs-Vs	log2FC_vs-VS	log2FC_vs-vS	log2FC_vS-Vs	log2FC_vS-VS	padj_Vs-VS	padj_vs-Vs	padj_vs-VS	padj_vs-vS	padj_vS-Vs	padj_vS-VS
AT1G01010	374.7400649	-0.031856009	2.046191653	2.014335644	0.923287568	1.122904085	1.091048076	1	1.68E-49	1.39E-46	1.15E-11	1.12E-14	1.63E-13
AT1G01020	138.4698218	-0.132245323	-0.66068777	-0.792933093	-0.566475394	-0.094212376	-0.2264577	1	0.000295844	1.41E-05	0.002787038	0.684338128	0.284827419
AT1G01030	207.9158424	0.290395139	0.372763361	0.6631585	-0.715894103	1.088657464	1.379052603	1	0.085743745	0.001960597	0.000642733	2.26E-07	7.43E-11
AT1G01040	436.60172	0.029900704	-0.491934973	-0.462034269	-0.093875774	-0.398059198	-0.368158494	1	6.53E-07	4.53E-06	0.422693265	0.000138602	0.000585001
AT1G01050	736.8519212	-0.143369291	0.175877279	0.032507987	0.159182225	0.016695053	-0.126674238	1	0.117984738	0.797389993	0.179039207	0.910698846	0.321462999
AT1G01060	2848.521948	0.010007642	-1.254891464	-1.244883822	1.526964035	-2.781855499	-2.771847857	1	2.79E-14	4.90E-14	1.16E-19	1.80E-63	6.33E-63
AT1G01070	81.96885752	-0.181249671	-0.435192071	-0.616441742	0.948737193	-1.383929263	-1.565178935	1	0.039564365	0.003148817	2.47E-05	4.33E-10	1.55E-12
AT1G01080	623.0959591	0.075933337	-1.388705837	-1.3127725	-0.755573589	-0.633132248	-0.557198911	1	7.31E-38	2.16E-33	1.82E-11	1.20E-08	8.58E-07
AT1G01090	1947.681853	-0.037124387	-0.128794237	-0.165918624	0.161033654	-0.289827891	-0.326952278	1	0.084333477	0.024992633	0.035607744	0.00010821	1.22E-05
AT1G01100	2241.225034	-0.028811418	-0.446195353	-0.475006772	-0.223064559	-0.223130794	-0.251942213	1	0.000678873	0.000297855	0.119714019	0.129526563	0.084603273
AT1G01110	53.29574288	0.324332602	-1.059831347	-0.735498745	-0.222911681	-0.836919666	-0.512587064	1	6.68E-07	0.001113687	0.389423993	0.00018199	0.036278142
AT1G01120	3644.587778	-0.036821397	0.52024361	0.483422212	1.051190902	-0.530947292	-0.567768689	1	0.009868395	0.017263987	1.36E-07	0.012867722	0.007605839
AT1G01130	63.06123981	0.038458264	0.452840297	0.49129856	0.780044678	-0.327204381	-0.288746118	1	0.039596468	0.028953244	0.000444463	0.202162777	0.280219761
AT1G01140	1420.017968	-0.218195976	-0.512726205	-0.730922182	0.13310535	-0.645831555	-0.864027531	1	0.003620831	2.56E-05	0.519487286	0.000404659	1.38E-06
AT1G01160	408.0024653	0.075373858	0.018073821	0.093447679	-0.041464592	0.059538413	0.134912271	1	0.91878517	0.584576044	0.828811399	0.764646206	0.463075655
AT1G01170	431.2368374	-0.178718056	-0.318150478	-0.496868534	0.300114379	-0.618264856	-0.796982912	1	0.003720539	4.35E-06	0.009726342	3.59E-08	7.36E-13
AT1G01180	139.6125018	-0.054500018	0.590031767	0.535531749	0.302703708	0.287328059	0.232828041	1	0.000972646	0.00336384	0.112656883	0.161106084	0.276531341
AT1G01200	32.52856958	0.025792251	-0.745905469	-0.720113218	-0.538432498	-0.207472971	-0.18168072	1	0.003460059	0.006123935	0.047201063	0.486351739	0.559224549
AT1G01210	112.2553873	-0.042891504	-0.98136374	-1.024255243	-0.94352593	-0.03783781	-0.080729314	1	4.81E-09	1.67E-09	2.86E-08	0.864914773	0.701740866
AT1G01220	276.0443673	-0.04674469	-0.494163714	-0.540908404	-0.157620961	-0.336542752	-0.383287443	1	2.65E-05	5.36E-06	0.239338095	0.007856407	0.002588351
AT1G01225	36.27319801	0.209394122	-1.066730493	-0.85733637	-0.782594821	-0.284135671	-0.074741549	1	0.000291533	0.005023391	0.011905783	0.404267555	0.848457552
AT1G01230	356.9585306	-0.035012647	0.173260408	0.138247761	-0.06915005	0.242410458	0.207397811	1	0.196221396	0.3175591	0.647998477	0.085440618	0.154657438
AT1G01240	107.4420039	0.152226123	-0.187967782	-0.035741659	0.678357965	-0.866325747	-0.714099624	1	0.459111449	0.900268439	0.005888738	0.000459763	0.005179229
AT1G01260	535.5750232	-0.182551053	0.716449743	0.533898689	0.219330126	0.497119616	0.314568563	1	3.17E-06	0.000640367	0.199859422	0.002592138	0.069831564
AT1G01290	170.8051802	0.011094701	-0.220357426	-0.209262725	0.030534457	-0.250891883	-0.239797182	1	0.151885752	0.184035045	0.873088111	0.130148845	0.16015461
AT1G01300	883.3464817	0.031965765	0.448124361	0.480090126	-0.085145241	0.533269602	0.565235367	1	1.08E-05	2.97E-06	0.472230945	3.54E-07	8.60E-08
AT1G01320	6456.733121	-0.055110659	-0.222540065	-0.277650724	0.145965812	-0.368505878	-0.423616537	1	0.003858464	0.000280182	0.077265038	2.40E-06	4.89E-08
AT1G01340	200.5667867	-0.284741754	-1.493139465	-1.777881219	-1.468663069	-0.024476396	-0.30921815	1	3.09E-16	1.72E-22	1.96E-15	0.921524504	0.126274864
AT1G01350	382.8872698	0.048950355	-0.2914475	-0.242497145	-0.164366277	-0.127081223	-0.078130868	1	0.006493445	0.02818787	0.157778709	0.303577109	0.55704413
AT1G01360	146.6219133	-0.003884282	0.932160997	0.928276715	0.142087864	0.790073134	0.786188852	1	6.82E-10	2.11E-09	0.396430485	6.73E-07	1.49E-06
AT1G01370	61.04889884	0.119459949	-0.538382225	-0.418922277	-0.40022841	-0.138153815	-0.018693867	1	0.006180486	0.042792256	0.054288611	0.560065296	0.947682639
AT1G01390	70.50746055	0.011320123	1.44895508	1.460275203	1.158631979	0.290323101	0.301643224	1	2.21E-08	3.11E-08	9.29E-06	0.368894007	0.357693919
AT1G01420	224.5202085	-0.041279013	0.480175783	0.43889677	-0.142266578	0.622442361	0.581163348	1	0.005118313	0.011981618	0.46190872	0.000444247	0.001305096
AT1G01430	1103.556276	-0.016531441	-0.54736052	-0.563891961	0.058140836	-0.605501356	-0.622032797	1	3.44E-05	2.10E-05	0.725307292	9.85E-06	5.95E-06
AT1G01440	470.1825996	0.018368755	0.095355644	0.113724399	0.369336184	-0.27398054	-0.255611785	1	0.439874054	0.358414986	0.001562922	0.02707557	0.04388349
AT1G01448	115.1325077	0.169252212	-0.604503722	-0.435251511	-0.762636254	0.158132532	0.327384743	1	0.001427894	0.028145751	5.95E-05	0.478795604	0.123024673
AT1G01470	3479.686948	-0.088645421	1.573965531	1.48532011	0.558491224	1.015474307	0.926828886	1	3.94E-25	1.93E-22	0.000527441	1.24E-10	5.63E-09
AT1G01480	24.88888447	0.064667123	0.871448376	0.936115499	0.191323648	0.680124728	0.744791851	1	0.006612048	0.004596981	0.5956412	0.054199188	0.039961982
AT1G01490	830.0462071	-0.066193888	0.589205681	0.523011793	0.157295047	0.431910634	0.365716746	1	2.27E-06	3.33E-05	0.263573413	0.001161352	0.007165406
AT1G01500	183.6737803	0.101130485	1.044480146	1.145610631	0.320138913	0.724341232	0.825471717	1	2.57E-15	5.08E-17	0.017874644	2.56E-07	1.15E-08
AT1G01510	718.1504483	-0.049889552	0.506399869	0.456510317	0.228255139	0.27814473	0.228255178	1	6.27E-09	2.56E-07	0.012961708	0.003444488	0.020325255
AT1G01520	68.21623839	-0.186209017	2.157217259	1.971008242	3.773225676	-1.616008417	-1.802217434	1	2.67E-14	5.39E-12	1.87E-33	2.51E-06	1.45E-07
AT1G01540	1165.59969	-0.042752016	-0.79204615	-0.834798167	-0.21769303	-0.57435312	-0.617105137	1	2.61E-24	1.61E-26	0.010746714	7.76E-13	1.72E-14
AT1G01550	2980.386945	-0.081237808	0.268661468	0.18742366	-0.015076547	0.283738015	0.202500207	1	0.00113652	0.026926698	0.888025743	0.001027324	0.024056877
AT1G01560	139.3991702	-0.239841101	2.018916523	1.779075422	1.135905513	0.88301101	0.643169909	1	8.27E-07	1.61E-05	0.008497935	0.053840924	0.17656392
AT1G01570	45.89677467	-0.037718192	0.395124752	0.35740656	0.518301993	-0.123177241	-0.160895433	1	0.110801655	0.161611218	0.039748565	0.698009095	0.607211644
AT1G01580	929.6114148	0.33124402	-3.556061143	-3.224817124	-3.01084259	-0.545218553	-0.213974534	1	7.88E-18	7.71E-15	9.61E-13	0.26650334	0.691532469
AT1G01600	152.1031599	0.130002359	0.438963236	0.568965595	1.515455528	-1.076492292	-0.946489934	1	0.006857083	0.000531035	7.98E-20	6.83E-10	1.38E-07
AT1G01610	1531.074634	0.004470696	0.722830781	0.727301477	0.883323512	-0.160492731	-0.156022035	1	4.45E-17	4.82E-17	2.31E-24	0.110096627	0.125844174
AT1G01620	5732.328586	0.065666919	1.407678257	1.473345176	1.521655986	-0.113977729	-0.04831081	1	3.58E-26	1.82E-28	8.77E-30	0.497395023	0.789520042
AT1G01630	894.1991343	0.032766754	0.400754461	0.433521215	0.444864322	-0.044109861	-0.011343106	1	0.000521931	0.000188584	0.000159897	0.774358178	0.946381121
AT1G01640	106.0582872	0.365369204	1.251232006	1.61660121	0.810532763	0.440699243	0.806068447	1	3.94E-08	5.13E-12	0.000506688	0.093948774	0.001774086
AT1G01650	573.4508215	-0.236747327	-0.273040525	-0.509787853	-0.347892706	0.074852181	-0.161895146	1	0.044730591	0.000110706	0.011775184	0.656342459	0.294234241
AT1G01690	84.65066302	-0.045680496	0.248300039	0.202619543	0.064827321	0.183472718	0.137792223	1	0.150433689	0.260763707	0.744107329	0.351254635	0.508324633
AT1G01710	520.069033	-0.093624098	0.149830598	0.0562065	0.228129439	-0.078298841	-0.171922939	1	0.192928849	0.652782323	0.049186694	0.566704994	0.172913298
AT1G01720	963.2061496	-0.155914239	1.085039828	0.929125589	0.546767864	0.538271964	0.382357725	1	6.24E-21	1.52E-15	4.51E-06	1.30E-05	0.002762605
AT1G01725	55.78520003	0.031565013	0.642403971	0.673968985	0.3879789	0.254425072	0.285990085	1	0.000806166	0.000693551	0.048451235	0.267756892	0.225861347
AT1G01730	303.8728812	-0.002010162	1.100424449	1.098414287	0.55225034	0.548174109	0.546163948	1	1.43E-20	9.89E-20	3.46E-06	1.95E-05	3.22E-05
AT1G01740	83.51888744	-0.101075028	-0.935436322	-1.03651135	-1.184465776	0.249029454	0.147954426	1	8.83E-06	1.02E-06	1.47E-08	0.288412781	0.557216322
AT1G01750	85.52346883	-0.03446499	-1.37598206	-1.410447049	0.13656953	-1.51255159	-1.54701658	1	2.95E-14	1.45E-14	0.572657436	1.64E-15	8.29E-16
AT1G01760	68.4552247	0.103725681	-0.520557346	-0.416831665	-0.527415211	0.006857865	0.110583546	1	0.003152522	0.024855112	0.003264972	0.976799917	0.616374095
AT1G01770	241.141697	-0.095434867	0.070029537	-0.025405331	0.300246136	-0.2302166	-0.325651467	1	0.59214547	0.858761109	0.015170897	0.083825378	0.012635195
AT1G01780	164.6837136	-0.167965878	0.148866392	-0.019099486	0.509401575	-0.360535182	-0.52850106	1	0.244544915	0.896891532	3.89E-05	0.007180519	5.92E-05
AT1G01790	1854.08775	-0.097354187	-1.379221426	-1.476575612	-0.808825151	-0.570396274	-0.667750461	1	8.50E-38	5.48E-43	2.61E-13	3.94E-07	2.25E-09
AT1G01800	601.7748663	-0.084859484	0.44614646	0.361286977	0.479249849	-0.033103388	-0.117962872	1	1.71E-05	0.000637375	5.55E-06	0.81737162	0.353051699
AT1G01820	501.1400677	-0.163856304	0.148090444	-0.01576586	-0.427552833	0.575643277	0.411786973	1	0.224019408	0.910327106	0.000191206	6.71E-07	0.000589692
AT1G01830	229.1341359	-0.028294381	0.420949783	0.392655403	0.52661897	-0.105669187	-0.133963568	1	0.001466968	0.003698111	8.50E-05	0.524934142	0.416389647
AT1G01860	113.9046377	-0.057795281	-0.408897957	-0.466693238	-0.695213852	0.286315895	0.228520614	1	0.008518178	0.003046926	3.79E-06	0.081358674	0.185491613
AT1G01880	45.43462759	-0.127411275	0.159128749	0.031717474	-0.8023891	0.961517849	0.834106574	1	0.535086059	0.911664493	0.000255925	3.07E-05	0.000457122
AT1G01900	310.3516847	-0.088818651	2.109395973	2.020577322	1.639431234	0.469964739	0.381146088	1	3.02E-35	7.25E-32	4.26E-22	0.015898799	0.058684904
AT1G01910	757.190344	-0.065017847	0.14312527	0.078107423	0.154452451	-0.011327181	-0.076345028	1	0.191978695	0.500353346	0.176181198	0.938301965	0.556398478
AT1G01920	230.1558568	0.100666216	-0.167627478	-0.066961262	-0.119552832	-0.048074646	0.05259157	1	0.284970418	0.695015791	0.482191992	0.806441921	0.786941367
AT1G01930	276.4366123	-0.06188977	0.117990335	0.056100566	0.032978475	0.08501186	0.023122091	1	0.317675396	0.658687318	0.81031807	0.531726734	0.879700611
AT1G01940	210.9086581	0.157457894	-0.254423869	-0.096965975	-0.34232665	0.087902781	0.245360674	1	0.062233833	0.520701743	0.012443751	0.59129481	0.103186312
AT1G01950	786.6802178	-0.043939027	-0.084434225	-0.128373252	0.22316374	-0.307597965	-0.351536992	1	0.460925774	0.252900842	0.045722877	0.005900514	0.001620497
AT1G01960	1706.14961	-0.174215676	0.67874154	0.504525865	0.558308232	0.120433309	-0.053782367	1	3.66E-09	1.51E-05	2.29E-06	0.391495911	0.722968923
AT1G01970	331.9873426	0.050853217	-0.100328712	-0.049475495	-0.430893254	0.330564542	0.381417758	1	0.417126053	0.710230473	0.000139042	0.0054631	0.001531181
AT1G01990	192.7955882	0.20147399	-1.182985975	-0.981511985	-0.679387745	-0.50359823	-0.30212424	1	7.78E-15	3.16E-10	2.38E-05	0.001731195	0.080771167
AT1G02000	320.0188563	0.116752079	0.455339798	0.572091876	0.446991658	0.00834814	0.125100219	1	6.63E-06	3.28E-08	1.28E-05	0.953999245	0.325228649
AT1G02010	164.4686052	0.041611623	-0.124893183	-0.083281559	-0.187508052	0.06261487	0.104226493	1	0.38470617	0.584893505	0.193770145	0.714774888	0.530473161
AT1G02020	26.90844609	-0.036468279	-0.411689108	-0.448157387	0.307861123	-0.719550231	-0.75601851	1	0.186837829	0.156023972	0.379755685	0.029274847	0.023975695
AT1G02050	56.50117569	-0.04110141	-0.312181534	-0.353282944	-0.644220257	0.332038722	0.290937313	1	0.121755591	0.085295425	0.000727361	0.109681909	0.180964261
AT1G02060	76.54870253	0.174831709	-0.354247124	-0.179415415	-0.81078224	0.456535116	0.631366825	1	0.061816025	0.388688369	5.58E-06	0.016158619	0.00109804
AT1G02080	3441.109746	-0.096590039	1.022444238	0.925854199	0.699007134	0.323437104	0.226847065	1	8.22E-33	5.75E-27	1.14E-15	0.000523521	0.019164476
AT1G02090	451.3587572	0.043602712	-0.293631561	-0.250028849	-0.260096388	-0.033535173	0.010067539	1	0.000723337	0.005317614	0.003655835	0.76889399	0.935792268
AT1G02100	513.8996007	-0.102275766	0.438750105	0.336474339	0.0580909	0.380659205	0.278383439	1	1.21E-06	0.000279996	0.586895183	6.71E-05	0.005105123
AT1G02110	134.9551636	0.472788941	-0.94135878	-0.468569839	-0.256559386	-0.684799395	-0.212010454	0.331396722	2.32E-11	0.002105996	0.113528667	2.94E-06	0.221206131
AT1G02120	496.0905697	0.078558675	-0.658550179	-0.579991504	-0.528534697	-0.130015482	-0.051456807	1	2.12E-13	2.62E-10	8.79E-09	0.209984067	0.658562294
AT1G02130	628.053699	-0.032877011	0.474392349	0.441515338	0.111502717	0.362889631	0.33001262	1	5.25E-07	4.38E-06	0.294370212	0.000313428	0.001363814
AT1G02140	1298.048699	0.002621333	-0.365409717	-0.362788384	-0.186314791	-0.179094926	-0.176473593	1	1.13E-07	1.94E-07	0.011282981	0.017599039	0.021287331
AT1G02145	289.6146245	-0.027787467	-0.06893237	-0.096719837	-0.05929089	-0.00964148	-0.037428946	1	0.565705176	0.422051124	0.647487924	0.948715654	0.796105145
AT1G02150	1035.327249	0.050151467	-1.221168113	-1.171016645	-0.414944055	-0.806224058	-0.75607259	1	5.13E-27	1.03E-24	0.000668826	5.21E-12	1.46E-10
AT1G02160	94.82326635	0.092989226	-0.092091612	0.000897614	0.062670577	-0.154762189	-0.061772963	1	0.643740973	0.996814083	0.778116431	0.475995868	0.797946091
AT1G02170	431.2161291	0.079400422	0.222490257	0.301890679	0.337286155	-0.114795898	-0.035395476	1	0.044009513	0.006399567	0.002379646	0.375846846	0.8084423
AT1G02180	38.29801689	-0.237020937	0.4217545	0.184733563	0.127708721	0.294045779	0.057024843	1	0.118349005	0.522133542	0.675940694	0.340756851	0.872742499
AT1G02205	901.4813148	-0.026415478	3.020564197	2.994148718	5.792928429	-2.772364232	-2.798779711	1	1.21E-44	1.45E-43	5.43E-139	2.52E-31	1.07E-31
AT1G02220	172.1311838	0.195614871	2.113336923	2.308951794	1.515522595	0.597814329	0.793429199	1	5.00E-61	6.33E-64	1.20E-36	5.16E-05	2.55E-07
AT1G02260	137.7935011	-0.08250112	-0.224219615	-0.306720735	-0.231210076	0.006990461	-0.075510659	1	0.220972294	0.09085864	0.22604361	0.976660454	0.736420107
AT1G02270	546.1935924	-0.135378649	0.052889216	-0.082489433	0.268637081	-0.215747865	-0.351126514	1	0.754764918	0.622622437	0.093167768	0.203192855	0.030294352
AT1G02280	642.1384023	-0.044673182	-1.243761463	-1.288434645	-0.480487273	-0.763274191	-0.807947372	1	4.51E-22	2.11E-23	0.000503312	1.07E-08	1.51E-09
AT1G02290	185.7541897	0.036534925	0.310627535	0.34716246	-0.025718394	0.336345929	0.372880854	1	0.014340385	0.007555216	0.869766857	0.012555733	0.006803669
AT1G02300	90.82377583	-0.067073137	0.253230552	0.186157415	-0.338078442	0.591308993	0.524235856	1	0.24970667	0.416291676	0.119478277	0.006665642	0.019604675
AT1G02305	957.5403792	-0.108085474	0.528906033	0.420820559	0.46385254	0.065053493	-0.043031981	1	1.64E-08	9.68E-06	1.23E-06	0.589576974	0.731060447
AT1G02310	89.66820084	0.054849968	0.519164697	0.574014665	-0.137037819	0.656202517	0.711052484	1	0.013790173	0.007594198	0.563487463	0.002757885	0.00148319
AT1G02330	200.3794363	0.081876098	-0.11757399	-0.035697892	-0.034591668	-0.082982322	-0.001106224	1	0.490949206	0.849583007	0.863160069	0.677736963	0.996419052
AT1G02335	366.7684593	0.052592189	1.413087311	1.465679501	1.217155421	0.195931891	0.24852408	1	2.37E-12	5.12E-13	2.89E-09	0.435055235	0.314557954
AT1G02340	193.3422022	0.307787081	2.802822884	3.110609965	2.207419591	0.595403293	0.903190374	1	2.58E-70	3.41E-76	8.50E-49	0.001217784	1.92E-06
AT1G02360	291.1638762	0.134170735	-1.124693919	-0.990523184	-1.063300476	-0.061393444	0.072777292	1	1.29E-11	4.27E-09	3.09E-10	0.780397753	0.737376611
AT1G02370	123.0169598	-0.09028079	-0.971127561	-1.061408351	-1.134410183	0.163282623	0.073001833	1	1.12E-09	4.36E-11	8.35E-13	0.367873697	0.713150361
AT1G02380	41.96348814	0.349937474	0.417748489	0.767685963	0.339378102	0.078370387	0.428307861	1	0.065453242	0.001086684	0.15027765	0.795286385	0.112550399
AT1G02390	50.96333184	-0.342979359	-0.236150455	-0.579129814	-0.024779429	-0.211371026	-0.554350385	1	0.478693004	0.064185624	0.950599963	0.576421981	0.102269998
AT1G02400	1837.128176	-0.36615776	0.33445972	-0.03169804	0.007098048	0.327361672	-0.038796088	1	0.180029353	0.911880666	0.982724791	0.227843727	0.905063904
AT1G02410	231.8285949	-0.13969464	-0.28578462	-0.425479259	0.169398054	-0.455182674	-0.594877313	1	0.023759078	0.000662779	0.227755014	0.000541804	4.93E-06
AT1G02420	52.07348637	0.06618921	-0.17117249	-0.10498328	-0.683676111	0.51250362	0.57869283	1	0.502680295	0.70130277	0.003129223	0.037084397	0.021107411
AT1G02460	136.8355391	-0.338604689	4.235695992	3.897091303	1.313021774	2.922674218	2.584069529	1	1.27E-70	7.61E-61	1.30E-11	2.85E-32	9.39E-26
AT1G02470	26.42261707	-0.24758494	1.116132134	0.868547194	1.041374413	0.07475772	-0.17282722	1	3.47E-05	0.001542931	0.000115862	0.850575793	0.638561131
AT1G02475	348.5517486	0.028058425	-0.514229477	-0.486171052	-0.047047816	-0.467181661	-0.439123236	1	8.45E-08	7.29E-07	0.700348433	3.49E-06	2.16E-05
AT1G02500	8141.011367	0.373268693	0.43852036	0.811789053	0.527656311	-0.089135951	0.284132742	0.002492075	3.12E-08	3.44E-25	4.47E-11	0.34998644	0.000854274
AT1G02520	208.3226601	0.028743613	-0.508860805	-0.480117192	-0.270164907	-0.238695898	-0.209952285	1	0.000125082	0.000398163	0.060035085	0.106815509	0.171897017
AT1G02560	2929.566953	-0.146838739	-0.306354683	-0.453193422	-0.065586075	-0.240768608	-0.387607346	1	0.000643861	3.11E-07	0.537033063	0.012418	2.99E-05
AT1G02610	175.9149915	0.076992248	1.407283237	1.484275484	1.278681424	0.128601813	0.205594061	1	4.51E-11	6.91E-12	3.41E-09	0.652223347	0.452589547
AT1G02640	624.0118531	0.043824424	-0.821716522	-0.777892098	0.546760973	-1.368477495	-1.324653071	1	9.19E-07	3.93E-06	0.002200961	8.51E-16	9.39E-15
AT1G02650	34.61469688	-0.169324406	-0.762431595	-0.931756001	-0.332243485	-0.430188109	-0.599512516	1	0.001852072	0.000144925	0.232284834	0.108754648	0.022536348
AT1G02660	1334.352704	-0.181031254	0.139797594	-0.04123366	0.585961949	-0.446164355	-0.62719561	1	0.603192194	0.888123639	0.021310233	0.096240399	0.015874068
AT1G02670	28.89016468	0.170363651	0.430384701	0.600748352	0.192027694	0.238357007	0.408720658	1	0.115385287	0.032774355	0.518620003	0.460022134	0.201788427
AT1G02680	128.9395256	0.064005491	0.156062289	0.220067779	-0.090125726	0.246188014	0.310193505	1	0.305535151	0.152412252	0.582964465	0.121923301	0.054779846
AT1G02690	328.9456262	0.030404303	0.148708259	0.179112562	-0.081207559	0.229915818	0.260320121	1	0.145277199	0.083997549	0.462664884	0.030245703	0.015940822
AT1G02720	163.0582253	0.310180849	-0.474412813	-0.164231964	-0.365281694	-0.109131119	0.20104973	1	0.000301196	0.265002547	0.007675215	0.489747496	0.196134562
AT1G02730	1203.361494	0.029040318	0.206213817	0.235254134	-0.333227991	0.539441808	0.568482125	1	0.108326142	0.066388822	0.009176485	1.95E-05	7.27E-06
AT1G02740	210.22718	0.081971931	0.480408941	0.562380872	-0.077822732	0.558231673	0.640203604	1	0.000208247	2.22E-05	0.604088559	3.28E-05	3.11E-06
AT1G02750	207.7066512	0.014418935	0.858227697	0.872646632	0.26908688	0.589140816	0.603559751	1	1.13E-09	1.34E-09	0.071928389	9.64E-05	9.31E-05
AT1G02770	31.17583061	-0.890698895	2.931725246	2.04102635	1.678532449	1.253192797	0.362493901	1	1.23E-19	2.14E-11	7.35E-09	0.000641663	0.355421111
AT1G02780	10742.56463	0.06869268	-0.130834106	-0.062141425	-0.031249578	-0.099584528	-0.030891847	1	0.189060005	0.556267863	0.793129962	0.372908351	0.803145614
AT1G02810	455.1460237	-0.066863446	-1.985931728	-2.052795175	-0.732966876	-1.252964852	-1.319828299	1	2.19E-19	1.48E-20	0.002049165	4.23E-08	7.53E-09
AT1G02816	271.9351799	-0.158152265	0.161597206	0.00344494	0.636122447	-0.474525241	-0.632677506	1	0.177769303	0.980615072	4.01E-08	0.00010921	1.80E-07
AT1G02820	58.99483304	-0.233255243	0.048457766	-0.184797478	1.02609015	-0.977632385	-1.210887628	1	0.887743509	0.577537106	0.001027095	0.002436338	0.000144016
AT1G02840	880.0834003	0.072246508	-0.567547844	-0.495301336	-0.163755201	-0.403792644	-0.331546135	1	1.07E-11	5.47E-09	0.078649328	4.01E-06	0.000238696
AT1G02850	731.5174045	-0.348579576	0.3936153	0.045035724	0.113311303	0.280303997	-0.06827558	1	0.086967646	0.866062709	0.674325931	0.274673472	0.814879021
AT1G02860	342.4365991	-0.041535244	0.537324813	0.495789568	0.469896401	0.067428411	0.025893167	1	0.00013465	0.000519016	0.001183776	0.717449822	0.896241652
AT1G02870	352.7467568	0.108136458	-0.861963752	-0.753827294	-0.548884049	-0.313079703	-0.204943245	1	3.43E-14	8.41E-11	3.69E-06	0.010914209	0.118415637
AT1G02880	325.0154481	0.071179417	-0.482349887	-0.41117047	-0.549492989	0.067143102	0.138322518	1	1.52E-06	7.09E-05	4.62E-08	0.589219506	0.240431678
AT1G02890	2129.643609	-0.020474359	0.153378271	0.132903912	0.268477289	-0.115099018	-0.135573377	1	0.029441841	0.06385636	0.000130561	0.140054329	0.080157837
AT1G02900	445.1243226	0.228820812	-0.593848181	-0.365027369	-0.379548298	-0.214299883	0.01452093	1	2.95E-07	0.002501596	0.001867203	0.100113323	0.930865045
AT1G02910	613.18161	-0.141180679	-1.142953197	-1.284133876	-0.673009616	-0.469943581	-0.61112426	1	1.31E-20	1.57E-25	1.43E-07	0.000313598	1.95E-06
AT1G02920	549.3410108	-0.348466878	-0.220664964	-0.569131842	0.468021844	-0.688686807	-1.037153686	0.912318598	0.109025405	1.33E-05	0.000663271	4.22E-07	5.94E-15
AT1G02930	907.7024131	-0.267381139	0.394338837	0.126957698	0.479881675	-0.085542838	-0.352923977	1	0.136018339	0.659547306	0.078308468	0.800385396	0.225593188
AT1G02950	119.5269646	0.118539708	-0.311820964	-0.193281256	-0.289183858	-0.022637106	0.095902602	1	0.10515233	0.343993223	0.15156491	0.929365981	0.687112962
AT1G02960	170.2964139	0.064987914	-0.507208169	-0.442220255	-0.085878748	-0.42132942	-0.356341506	1	0.000153841	0.001375875	0.600522262	0.003245059	0.0170136
AT1G02970	54.11579234	-0.065070378	-0.362450325	-0.427520703	-0.551389711	0.188939386	0.123869008	1	0.104930422	0.057844953	0.01211295	0.453691178	0.643697269
AT1G02990	328.639697	0.004441259	0.057214241	0.0616555	0.27566266	-0.218448419	-0.21400716	1	0.59290642	0.575256883	0.006000033	0.042021831	0.052703507
AT1G03000	347.7644341	0.128983359	0.152363851	0.28134721	0.336134757	-0.183770906	-0.054787547	1	0.183277772	0.012727196	0.002824546	0.139962387	0.704691727
AT1G03030	291.5997515	-0.068798738	-0.409542723	-0.478341461	0.152904021	-0.562446744	-0.631245482	1	0.000639456	7.25E-05	0.265636234	6.51E-06	4.66E-07
AT1G03040	551.0917673	0.031223651	0.081771778	0.112995428	-0.110850566	0.192622344	0.223845995	1	0.452853313	0.297121486	0.317510771	0.079948813	0.042654577
AT1G03055	66.28933061	-0.041529814	-2.023244101	-2.064773915	-0.761527022	-1.261717079	-1.303246893	1	1.69E-21	7.09E-22	0.001547938	1.21E-09	5.53E-10
AT1G03060	1368.760282	-0.172858225	0.133393417	-0.039464808	0.291201802	-0.157808385	-0.330666609	1	0.270104125	0.763427438	0.014190978	0.225910108	0.006377015
AT1G03070	37.28401123	-0.257990526	2.43910557	2.181115044	1.451472576	0.987632994	0.729642469	1	2.79E-18	9.38E-15	1.94E-08	0.002030833	0.027671232
AT1G03080	2289.290542	0.034355127	1.179699191	1.214054318	0.345550048	0.834149144	0.86850427	1	1.59E-36	3.54E-38	0.000458111	4.17E-18	2.46E-19
AT1G03090	576.6610456	-0.086490676	0.202202977	0.115712302	0.595473357	-0.39327038	-0.479761055	1	0.195621481	0.479928001	8.01E-05	0.014092721	0.002455131
AT1G03100	61.6251996	0.033225946	-0.184729509	-0.151503563	-0.696439462	0.511709954	0.5449359	1	0.396831534	0.507533306	0.000389351	0.013970868	0.010920723
AT1G03110	242.346086	0.014043733	-0.718641284	-0.704597551	-0.476922402	-0.241718882	-0.227675149	1	4.79E-11	2.69E-10	2.90E-05	0.043632928	0.065459923
AT1G03130	6980.901954	0.284924422	-2.128853648	-1.843929227	0.393132661	-2.521986309	-2.237061887	1	1.35E-24	1.03E-18	0.092807936	4.06E-33	3.37E-26
