geneID	baseMean	log2FC_Vs-VS	log2FC_vs-Vs	log2FC_vs-VS	log2FC_vs-vS	log2FC_vS-Vs	log2FC_vS-VS	padj_Vs-VS	padj_vs-Vs	padj_vs-VS	padj_vs-vS	padj_vS-Vs	padj_vS-VS
AT3G49720	2067.141277	-0.015329618	-0.050665509	-0.065995126	0.012263657	-0.062929165	-0.078258783	1	0.646069575	0.548567184	0.924919046	0.610598051	0.516088902
AT3G49725	160.1160684	0.078875659	-0.322601942	-0.243726283	-0.455658281	0.133056339	0.211931998	1	0.02241165	0.099902123	0.001168498	0.413808241	0.184461061
AT3G49740	51.13363543	0.20099625	-0.523638406	-0.322642156	-1.263617257	0.73997885	0.940975101	1	0.019487294	0.183630382	1.04E-09	0.000530131	2.11E-05
AT3G49750	83.6278151	0.202984958	-0.375770634	-0.172785676	-0.4660401	0.090269466	0.293254424	1	0.068407859	0.444334315	0.025276408	0.724498781	0.206978507
AT3G49780	710.3282858	-0.09183308	1.418688542	1.326855463	0.932256252	0.486432291	0.394599211	1	1.95E-26	5.17E-23	5.23E-12	0.000876278	0.008579165
AT3G49790	428.0765639	-0.074850781	0.902489566	0.827638785	0.91124432	-0.008754754	-0.083605535	1	1.63E-05	8.88E-05	2.09E-05	0.976460375	0.763118436
AT3G49800	529.8161744	0.125238516	0.349840856	0.475079372	0.302466244	0.047374611	0.172613127	1	0.000302156	1.20E-06	0.002420008	0.710633935	0.127495613
AT3G49810	114.2153573	-0.138564991	-0.08249228	-0.221057272	0.191719809	-0.274212089	-0.41277708	1	0.636992931	0.183824474	0.276693446	0.123809146	0.017393949
AT3G49840	52.95201167	-0.094699059	-0.416651429	-0.511350489	-0.267906385	-0.148745045	-0.243444104	1	0.056321944	0.019790383	0.258842113	0.569171745	0.332288386
AT3G49845	53.38268077	-0.418110286	-1.462003377	-1.880113664	-1.531952703	0.069949326	-0.348160961	1	1.82E-08	2.35E-13	4.67E-09	0.830532171	0.207657274
AT3G49850	199.6258281	0.07606879	-0.025217559	0.050851231	0.264226619	-0.289444178	-0.213375388	1	0.844901555	0.697019405	0.024689694	0.017894212	0.102461708
AT3G49860	35.77884203	-0.189695706	-0.340292116	-0.529987822	-0.480361554	0.140069438	-0.049626268	1	0.176806085	0.032046802	0.054300805	0.635354666	0.876004246
AT3G49870	693.2158383	-0.155820153	0.322361133	0.16654098	0.263967414	0.058393719	-0.097426434	1	0.001559376	0.119205881	0.012729178	0.655753614	0.43164098
AT3G49880	427.7590726	0.000309404	1.083107455	1.083416859	0.168063746	0.915043709	0.915353113	1	2.63E-33	1.07E-31	0.074881454	7.52E-23	8.86E-22
AT3G49890	66.49833188	0.148670108	-1.135682285	-0.987012177	-0.804611132	-0.331071153	-0.182401046	1	6.85E-10	2.39E-07	3.09E-05	0.093541329	0.406613728
AT3G49900	32.89399146	-0.141387962	-2.171147837	-2.312535799	-1.123571925	-1.047575912	-1.188963874	1	1.79E-13	6.12E-15	0.000535899	0.000246045	3.20E-05
AT3G49910	3542.607403	0.045764838	-0.646290049	-0.600525211	-0.399116685	-0.247173365	-0.201408526	1	1.57E-06	9.07E-06	0.004985057	0.104010293	0.197577265
AT3G49920	38.96900759	0.009916499	-0.454307522	-0.444391023	-0.847971581	0.39366406	0.403580559	1	0.088291824	0.104355943	0.000913209	0.156976783	0.158669737
AT3G49940	1193.206139	-0.039875624	1.806040734	1.76616511	0.278379446	1.527661287	1.487785664	1	8.88E-39	9.70E-37	0.06764387	3.49E-27	1.52E-25
AT3G49960	158.9856899	0.098735403	0.111156816	0.209892219	1.759321712	-1.648164896	-1.549429493	1	0.493975035	0.188151411	4.26E-28	6.95E-24	1.55E-20
AT3G49990	895.5032098	0.033674518	-0.601569218	-0.5678947	-0.895313739	0.293744521	0.327419039	1	2.32E-09	2.43E-08	3.88E-19	0.006459342	0.002456416
AT3G50000	1017.314101	-0.078061125	0.100104037	0.022042912	0.284038653	-0.183934616	-0.261995741	1	0.249875138	0.819932505	0.000707378	0.040939277	0.002890933
AT3G50010	68.52392351	0.131174584	-2.001110507	-1.869935922	-0.80072747	-1.200383036	-1.069208452	1	1.05E-21	1.91E-18	0.000626664	4.53E-09	4.06E-07
AT3G50050	174.1478154	0.059654614	0.122884955	0.182539568	-0.085003273	0.207888228	0.267542841	1	0.35123825	0.168936756	0.544622473	0.130050549	0.054296657
AT3G50060	125.9708247	-0.122717675	0.385140574	0.2624229	1.007611789	-0.622471215	-0.745188889	1	0.034789356	0.166326289	3.37E-08	0.00155098	0.000144245
AT3G50070	312.3317194	-0.197847041	1.057004743	0.859157702	0.378141193	0.67886355	0.481016509	1	2.26E-14	8.52E-10	0.008892995	4.07E-06	0.001619717
AT3G50080	57.44635971	-0.003315847	1.050726152	1.047410305	-0.042168715	1.092894867	1.08957902	1	1.28E-06	2.93E-06	0.87156877	1.26E-06	2.96E-06
AT3G50100	63.10569936	-0.066216295	-1.546092503	-1.612308797	-1.17878498	-0.367307523	-0.433523818	1	1.02E-13	1.81E-14	4.88E-08	0.090565077	0.046268582
AT3G50110	165.7651452	0.13666618	-0.420642083	-0.283975903	0.0520578	-0.472699882	-0.336033702	1	0.00566428	0.075270933	0.786701009	0.003301686	0.049059976
AT3G50120	26.76446446	-0.237099007	-0.932338513	-1.16943752	-1.893231534	0.960893021	0.723794014	1	0.007223873	0.000688241	7.52E-09	0.00391307	0.035916906
