gene	SRR1192255	SRR1192256	SRR1192257	SRR1192258	SRR1192259	SRR1192260
AT1G02460	49	47	67	39	107	98
AT1G02470	12	9	8	46	41	35
AT1G02475	527	588	661	603	591	703
AT1G02480	0	0	0	0	0	0
AT1G02490	0	0	0	0	2	0
AT1G02500	1704	1999	2172	1270	1795	1521
AT1G02510	0	0	0	0	0	0
AT1G02520	3	3	5	0	4	3
AT1G02530	2	2	5	3	11	11
AT1G02540	0	0	0	0	0	0
AT1G02550	0	0	0	0	0	0
AT1G02560	2462	2454	3386	2089	2192	1881
AT1G02570	0	0	0	0	1	0
AT1G02575	0	0	0	0	0	0
AT1G02580	0	1	0	0	1	0
AT1G02590	0	0	0	0	0	0
AT1G02600	0	0	0	0	0	0
AT1G02610	48	92	95	218	260	189
AT1G02620	2	6	11	31	60	34
AT1G02630	1	0	0	0	3	3
AT1G02640	248	295	230	292	294	227
AT1G02650	34	42	22	41	31	32
AT1G02660	167	244	238	376	331	320
AT1G02670	40	35	21	32	28	28
AT1G02680	217	203	164	187	206	167
AT1G02690	194	206	166	111	153	116
AT1G02700	4	5	6	2	3	6
AT1G02705	9	13	13	8	4	5
AT1G02710	3	1	2	4	3	2
AT1G02720	168	171	176	141	171	166
AT1G02730	1019	977	785	435	639	521
AT1G02740	140	143	145	127	145	132
AT1G02750	270	273	244	216	297	269
AT1G02770	2	1	0	0	3	2
AT1G02780	14406	12528	10312	7739	9082	6704
AT1G02790	0	0	0	0	0	0
AT1G02800	20	11	9	3	9	3
AT1G02810	4	4	2	2	2	5
AT1G02813	0	0	0	0	0	0
AT1G02816	136	151	169	185	129	143
AT1G02820	63	65	69	73	111	75
AT1G02830	1	0	3	0	1	1
AT1G02840	1057	1104	1188	883	1147	951
AT1G02850	2	1	4	4	10	8
AT1G02860	128	135	140	205	248	204
AT1G02870	247	226	160	117	138	132
AT1G02880	128	144	161	212	243	227
AT1G02890	1513	1730	1790	1363	1799	1571
AT1G02900	14	14	11	17	15	7
AT1G02910	1266	1345	1359	1561	1922	1680
AT1G02920	3	12	8	40	69	29
AT1G02930	16	31	19	61	120	86
AT1G02940	0	0	0	0	1	0
AT1G02950	164	186	129	121	127	90
AT1G02952	0	0	0	0	0	0
AT1G02960	325	355	417	330	398	361
AT1G02965	0	0	0	0	0	0
AT1G02970	80	92	92	44	46	39
AT1G02980	2	0	0	0	0	0
AT1G02990	587	686	749	643	880	706
