gene	SRR1192255	SRR1192256	SRR1192257	SRR1192258	SRR1192259	SRR1192260
AT1G24340	579	583	712	560	654	635
AT1G24350	168	165	208	207	221	199
AT1G24360	2681	2614	2457	1756	2120	1683
AT1G24380	5	1	3	1	3	2
AT1G24388	0	0	0	0	0	0
AT1G24390	0	0	0	0	0	0
AT1G24400	93	102	113	70	77	71
AT1G24405	16	12	2	9	10	7
AT1G24420	0	3	0	0	2	0
AT1G24430	0	0	0	0	0	0
AT1G24440	226	270	286	282	356	283
AT1G24450	113	92	115	111	154	110
AT1G24460	1999	2349	2514	1651	2386	2142
AT1G24470	7	7	14	11	11	13
AT1G24475	0	0	0	0	0	0
AT1G24480	1	2	3	1	1	1
AT1G24485	0	0	0	0	0	0
AT1G24490	650	644	638	630	677	704
AT1G24510	2675	3057	3214	1890	2347	2059
AT1G24520	0	0	0	0	1	0
AT1G24530	105	129	91	126	95	71
AT1G24540	1	0	0	0	0	0
AT1G24545	0	0	0	0	0	0
AT1G24560	890	982	896	892	1156	1075
AT1G24570	2	1	2	13	14	26
AT1G24575	91	126	85	55	110	77
AT1G24577	63	50	45	41	41	35
AT1G24580	8	15	1	27	29	9
AT1G24590	0	0	0	0	0	0
AT1G24600	7	10	3	1	4	1
AT1G24610	377	397	482	313	311	282
AT1G24620	0	0	0	0	0	0
AT1G24625	266	317	346	295	331	384
AT1G24650	1	0	0	0	2	0
AT1G24660	0	0	0	0	0	0
AT1G24706	2145	2403	2391	1970	2698	2542
AT1G24735	12	12	13	3	6	4
AT1G24764	946	982	943	699	892	866
AT1G24793	38	0	191	36	195	188
AT1G24800	126	257	567	93	80	84
AT1G24807	0	0	0	0	0	0
AT1G24822	11	7	0	11	0	0
AT1G24851	37	35	41	20	15	28
AT1G24880	659	685	292	737	575	710
AT1G24881	113	87	0	143	191	215
AT1G24909	0	0	0	0	0	0
AT1G24996	16	18	43	18	26	13
AT1G25025	0	0	0	0	0	0
AT1G25054	0	0	0	0	0	0
AT1G25055	0	0	0	0	0	0
AT1G25083	0	0	0	0	0	0
AT1G25097	0	0	0	0	0	0
AT1G25098	4135	3869	5180	2757	3517	2920
AT1G25141	54	55	59	30	19	26
AT1G25145	0	0	0	0	0	0
AT1G25150	989	861	695	637	769	561
AT1G25175	603	716	661	541	628	449
AT1G25180	0	0	0	0	0	0
AT1G25210	476	642	412	748	761	639
AT1G25211	473	619	574	517	628	581
AT1G25220	395	311	344	264	259	238
AT1G25230	971	1231	1163	1023	1243	1011
AT1G25240	2	0	0	0	0	0
AT1G25250	51	92	72	146	133	143
AT1G25260	663	661	636	387	418	325
AT1G25270	0	0	0	0	0	0
AT1G25275	689	792	837	739	689	690
AT1G25277	7	7	24	23	36	28
AT1G25280	407	468	458	403	431	357
AT1G25290	386	394	381	500	564	463
AT1G25300	0	0	0	0	0	0
AT1G25310	0	0	0	0	0	0
AT1G25320	206	185	271	206	219	178
AT1G25330	0	0	0	0	0	0
AT1G25340	0	0	0	0	0	0
AT1G25350	1881	2012	1866	1422	1811	1506
AT1G25360	40	56	71	36	46	39
AT1G25370	43	40	48	40	48	45
AT1G25375	224	310	336	227	303	217
AT1G25380	327	351	406	269	381	373
AT1G25390	459	443	519	344	528	415
AT1G25400	4	10	6	8	18	19
AT1G25410	0	0	0	0	0	0
AT1G25420	436	475	595	384	490	400
AT1G25422	5	2	10	8	4	8
AT1G25425	53	46	79	42	50	35
AT1G25440	9393	9864	10633	7880	10094	9457
AT1G25450	406	302	252	180	205	147
AT1G25460	0	0	1	0	0	0
AT1G25470	162	150	157	198	168	189
AT1G25480	126	158	162	162	191	170
AT1G25490	1904	2189	2394	1500	1873	1614
AT1G25500	22	64	72	63	96	74
AT1G25510	37	34	37	13	8	7
AT1G25520	363	453	444	352	498	433
AT1G25530	20	22	29	26	12	16
AT1G25540	448	525	523	421	510	484
AT1G25550	1405	1490	1713	1593	1641	1278
AT1G25560	351	454	390	498	513	405
AT1G25570	396	483	487	445	555	477
AT1G25580	163	215	201	139	168	153
AT1G25682	531	542	557	477	528	489
AT1G25988	0	0	0	0	0	0
AT1G26090	327	367	334	428	463	469
AT1G26100	123	79	101	85	109	108
AT1G26110	727	1072	1100	568	871	881
AT1G26120	229	273	307	295	322	292
AT1G26130	664	821	944	722	1044	1025
AT1G26140	0	0	0	0	0	0
AT1G26150	974	1205	1410	1094	1357	1342
AT1G26160	666	644	593	609	809	628
AT1G26170	559	551	657	467	502	475
AT1G26180	390	372	426	294	330	297
AT1G26190	523	469	672	453	527	415
AT1G26200	8	9	10	6	9	4
AT1G26208	418	511	466	440	355	373
AT1G26210	686	743	541	516	468	393
AT1G26218	28	39	55	35	28	28
AT1G26220	396	373	438	382	385	269
AT1G26225	0	0	1	1	0	0
AT1G26230	1140	1188	1384	1414	1794	1602
AT1G26233	18	18	11	19	6	10
AT1G26235	0	1	1	2	0	0
AT1G26240	0	0	0	0	0	0
AT1G26250	1	0	0	0	0	0
AT1G26255	0	0	0	0	0	0
AT1G26260	121	139	133	156	166	184
AT1G26270	968	1062	1203	799	1149	963
AT1G26290	51	40	30	16	17	14
AT1G26300	200	205	193	160	136	152
AT1G26310	0	0	0	0	0	0
AT1G26320	0	0	0	0	0	0
AT1G26330	113	99	101	66	77	68
AT1G26340	408	403	305	309	293	277
AT1G26350	0	0	0	0	0	0
AT1G26355	0	0	0	0	0	0
AT1G26360	1	0	0	0	0	0
AT1G26370	473	430	440	386	472	439
AT1G26380	0	0	0	0	8	2
AT1G26390	0	0	0	0	2	0
AT1G26400	0	0	0	1	0	0
AT1G26410	0	0	0	0	0	0
AT1G26420	0	0	0	1	5	0
AT1G26430	0	0	0	0	0	0
AT1G26440	310	342	401	434	536	491
AT1G26450	49	47	21	14	26	9
AT1G26460	1005	960	893	748	778	770
AT1G26470	140	107	101	90	57	47
AT1G26480	0	1	0	0	1	0
AT1G26500	54	63	41	44	67	50
AT1G26510	0	0	0	0	0	0
AT1G26515	0	0	0	0	0	0
AT1G26520	166	214	180	190	213	231
AT1G26530	10	8	5	18	35	13
AT1G26540	71	79	63	36	53	28
AT1G26550	1286	1283	1002	1050	1170	1062
AT1G26558	15	16	31	37	38	35
AT1G26560	867	1080	1110	1450	1702	1577
AT1G26570	185	223	186	134	173	140
AT1G26580	1879	2277	2591	1963	2518	2345
AT1G26590	2	4	5	2	1	0
AT1G26600	44	30	22	14	27	14
AT1G26610	12	8	17	2	8	6
AT1G26620	538	601	582	602	724	653
AT1G26630	5348	4481	3754	3343	3629	2834
AT1G26640	236	257	271	283	336	278
AT1G26650	619	712	733	517	673	632
AT1G26660	63	68	69	42	58	65
AT1G26665	117	103	113	50	48	49
AT1G26670	486	550	504	487	563	536
AT1G26680	0	0	0	0	0	0
AT1G26690	226	209	182	193	221	224
AT1G26700	0	0	0	0	0	0
AT1G26710	0	0	0	0	0	0
AT1G26720	0	0	0	0	0	0
AT1G26730	113	98	144	142	194	161
AT1G26740	155	108	171	114	119	81
AT1G26750	513	405	295	281	311	293
AT1G26760	11	15	9	10	15	11
AT1G26761	644	784	908	709	958	798
AT1G26762	2	1	0	0	0	0
AT1G26770	282	244	245	253	261	193
AT1G26773	0	0	0	0	0	0
AT1G26780	0	0	0	0	0	0
AT1G26790	0	0	1	1	2	1
AT1G26795	0	0	0	0	0	0
AT1G26796	0	0	0	0	0	0
AT1G26797	0	0	0	0	0	0
AT1G26798	0	0	0	0	0	0
AT1G26799	0	0	0	0	0	0
AT1G26800	84	125	128	180	228	208
AT1G26810	162	190	225	205	242	238
AT1G26815	0	0	1	0	0	0
AT1G26820	152	124	96	59	82	61
AT1G26830	1962	2049	2184	1859	2150	1991
AT1G26840	94	80	86	78	68	48
AT1G26850	4117	4098	4719	3464	3619	3486
AT1G26870	0	0	0	0	0	0
AT1G26880	2039	1319	964	858	909	583
AT1G26890	6	3	3	8	1	5
AT1G26900	103	108	135	84	115	116
AT1G26910	236	181	175	143	129	83
AT1G26920	1887	2057	1739	1784	1995	1966
AT1G26921	2	0	3	0	1	0
AT1G26930	34	59	58	98	131	89
AT1G26940	218	196	171	238	255	214
AT1G26945	296	313	317	202	246	190
AT1G26960	39	30	46	53	52	58
AT1G26970	0	0	0	0	0	0
AT1G26973	0	0	0	0	0	0
AT1G26975	0	0	0	0	0	0
AT1G26976	0	0	0	0	0	0
AT1G26985	0	0	0	0	0	0
AT1G27000	1086	1300	1445	1107	1302	1311
AT1G27008	0	0	0	0	0	0
AT1G27020	18	25	26	43	71	40
AT1G27030	285	314	287	164	196	180
AT1G27040	2	4	1	1	0	1
AT1G27045	1	6	6	21	23	10
AT1G27050	136	130	159	104	104	108
AT1G27060	64	78	89	69	94	82
AT1G27070	402	447	460	530	686	606
AT1G27080	0	0	0	0	0	0
AT1G27090	732	1067	1169	594	909	791
AT1G27100	840	855	896	871	946	762
AT1G27110	20	17	17	42	50	48
AT1G27120	682	705	748	524	610	581
AT1G27130	593	626	485	481	504	483
AT1G27135	0	0	0	0	0	0
AT1G27140	0	0	0	0	0	0
AT1G27150	534	576	589	699	793	754
AT1G27160	0	0	0	1	0	0
AT1G27170	110	151	175	123	143	189
AT1G27180	270	322	417	413	640	535
AT1G27190	1171	1382	1510	1060	1219	1291
AT1G27200	183	217	261	213	230	215
AT1G27210	1967	1822	2025	1566	1851	1518
AT1G27220	0	0	0	0	0	0
AT1G27240	1	0	0	0	0	1
AT1G27250	0	0	0	0	0	0
AT1G27260	0	0	0	0	0	0
AT1G27270	0	0	0	0	0	0
AT1G27280	0	0	0	0	0	0
AT1G27290	388	410	467	464	496	427
AT1G27300	118	85	88	93	96	82
AT1G27310	642	614	530	415	517	394
AT1G27320	2300	2693	2703	2938	3659	3488
AT1G27330	287	221	191	168	168	159
AT1G27340	454	490	505	524	560	493
AT1G27350	269	229	179	166	172	131
AT1G27360	168	188	303	126	197	171
AT1G27370	209	195	232	197	200	190
AT1G27380	7	15	11	8	9	8
AT1G27385	394	420	415	285	311	261
AT1G27390	816	694	629	524	672	593
AT1G27400	2413	1894	1451	1159	1404	982
AT1G27410	74	96	89	78	84	86
AT1G27420	34	36	29	21	34	33
AT1G27430	1163	1237	1414	990	1328	1132
AT1G27435	367	361	396	327	334	271
AT1G27440	86	100	94	97	148	112
AT1G27450	2703	2625	2253	1710	2014	1723
AT1G27460	1008	1196	1371	920	859	813
AT1G27461	0	0	0	0	0	0
AT1G27470	531	478	438	304	382	299
AT1G27480	883	762	1148	921	1242	931
AT1G27490	0	0	0	0	0	0
AT1G27500	249	257	268	166	237	173
AT1G27510	1593	1483	1539	1278	1611	1341
AT1G27520	336	417	542	592	650	614
AT1G27530	637	677	762	658	721	601
AT1G27535	0	0	0	0	0	0
AT1G27540	744	824	798	567	681	622
AT1G27550	0	0	0	0	0	0
AT1G27555	0	0	0	0	0	0
AT1G27565	0	0	0	1	0	0
AT1G27570	0	0	0	0	0	0
AT1G27580	2	0	2	0	0	0
AT1G27595	445	519	637	490	550	500
AT1G27600	537	620	685	596	715	648
AT1G27610	0	0	0	0	0	0
AT1G27620	4	7	7	6	3	2
AT1G27630	672	722	855	644	822	960
AT1G27640	3	3	2	4	1	0
AT1G27650	869	843	582	573	742	653
AT1G27660	91	119	121	90	103	102
AT1G27670	1	1	5	3	0	0
AT1G27680	264	274	281	207	221	200
AT1G27690	246	281	321	199	248	217
AT1G27695	34	31	30	21	40	23
AT1G27700	214	243	184	214	279	207
AT1G27710	0	0	0	0	0	0
AT1G27720	14	14	20	37	42	31
AT1G27730	0	7	2	9	11	5
AT1G27740	0	0	0	0	0	0
AT1G27750	329	383	395	307	467	384
AT1G27752	502	582	598	529	660	563
AT1G27760	712	783	1075	1090	1403	1137
AT1G27770	482	607	728	628	793	626
AT1G27820	0	0	0	0	3	0
AT1G27840	178	194	178	408	513	428
AT1G27850	1359	1506	1745	1309	1614	1572
AT1G27860	1	0	0	2	0	0
AT1G27870	0	0	0	0	1	0
AT1G27880	98	83	71	66	84	63
AT1G27890	0	0	6	1	1	0
AT1G27900	537	540	584	468	527	493
AT1G27910	581	630	783	638	746	784
AT1G27920	90	60	86	37	87	54
AT1G27921	275	297	330	246	320	307
AT1G27930	455	483	701	448	606	522
AT1G27940	40	33	31	31	26	39
AT1G27950	1522	1475	1254	1038	1150	909
AT1G27960	107	74	101	82	64	51
AT1G27970	560	479	503	359	394	319
AT1G27980	77	156	123	143	219	149
AT1G27990	0	0	0	0	0	0
AT1G28000	0	0	0	0	0	0
AT1G28005	0	0	0	0	0	0
AT1G28010	303	242	214	127	150	91
AT1G28020	0	0	0	0	0	0
AT1G28030	0	0	0	0	0	0
AT1G28040	2	3	1	0	0	1
AT1G28050	155	189	231	110	182	221
AT1G28060	719	807	715	1017	1367	1279
AT1G28070	107	84	103	78	98	106
AT1G28080	17	7	10	6	13	9
AT1G28090	446	444	485	386	474	414
AT1G28100	238	245	222	355	412	358
AT1G28110	145	163	199	131	161	157
AT1G28120	448	484	482	446	538	483
AT1G28130	19	14	34	15	24	20
AT1G28135	0	0	0	0	0	0
AT1G28140	1079	1157	1466	1216	1339	1285
AT1G28150	413	358	355	322	348	326
AT1G28160	0	0	0	0	0	0
AT1G28170	0	0	0	0	0	0
AT1G28180	0	0	0	0	0	0
AT1G28190	46	42	27	38	58	39
AT1G28200	196	243	224	205	233	177
AT1G28210	102	92	72	69	79	79
AT1G28220	0	3	5	1	4	1
AT1G28230	158	153	181	251	246	222
AT1G28240	657	654	697	704	817	797
AT1G28250	150	176	194	146	153	131
AT1G28260	383	403	464	365	448	364
AT1G28265	0	0	1	0	0	0
AT1G28270	0	0	0	0	0	0
AT1G28280	353	385	381	277	378	366
AT1G28290	50	47	43	30	31	31
AT1G28300	2	2	3	1	0	4
AT1G28305	0	0	0	0	0	0
AT1G28306	0	0	0	0	1	0
AT1G28310	158	212	254	159	210	220
AT1G28320	610	689	815	984	1200	977
AT1G28327	0	0	0	1	1	1
AT1G28330	280	468	286	349	432	478
AT1G28335	0	0	0	0	0	0
AT1G28340	985	1004	1360	965	1186	1084
AT1G28350	992	824	891	576	734	579
AT1G28360	2	0	0	0	1	0
AT1G28370	0	1	1	16	17	3
AT1G28375	0	0	0	0	0	0
AT1G28380	332	426	485	398	422	388
AT1G28390	43	41	40	35	47	34
AT1G28395	187	162	150	146	168	149
AT1G28400	1881	2369	1564	1083	1365	1390
AT1G28410	158	155	179	242	268	255
AT1G28420	1211	1406	1549	1180	1653	1557
AT1G28430	0	0	0	0	0	0
AT1G28440	1632	1791	2030	1190	1478	1308
AT1G28450	3	6	0	2	1	0
AT1G28460	3	0	0	1	0	0
AT1G28470	20	26	26	13	10	11
AT1G28480	0	0	0	0	2	0
AT1G28490	572	621	421	575	724	715
AT1G28500	0	0	0	0	0	0
AT1G28510	337	306	239	277	275	250
AT1G28520	571	752	780	566	681	652
AT1G28530	249	217	213	148	175	115
AT1G28540	162	148	214	199	239	203
AT1G28550	3	0	1	2	1	0
AT1G28560	100	107	140	148	218	175
AT1G28570	42	45	51	74	67	58
AT1G28580	204	265	281	232	317	272
AT1G28590	0	0	0	0	0	0
AT1G28600	725	705	887	573	624	599
AT1G28610	404	501	909	623	718	745
AT1G28630	0	1	0	1	0	0
AT1G28640	0	0	0	0	0	0
AT1G28650	0	0	0	0	0	0
AT1G28660	37	58	67	55	81	53
AT1G28670	490	510	543	444	504	439
AT1G28680	247	270	274	341	436	419
AT1G28685	32	21	29	39	64	47
AT1G28690	56	77	79	88	121	111
AT1G28695	0	0	0	0	0	0
AT1G28700	0	0	0	0	0	0
AT1G28710	270	313	347	261	379	322
AT1G28715	116	114	113	152	208	166
AT1G28720	0	0	0	0	0	0
AT1G28730	0	0	0	0	0	0
AT1G28740	0	0	0	0	0	0
AT1G28760	105	130	156	111	129	107
AT1G28765	59	70	71	53	61	62
AT1G28815	0	0	0	0	0	0
AT1G28820	0	0	0	0	0	0
AT1G28870	0	0	0	0	0	0
AT1G28960	248	220	278	362	464	375
AT1G28990	0	0	0	0	0	0
AT1G29000	0	0	0	0	0	0
AT1G29005	0	0	0	0	0	0
AT1G29010	0	0	0	0	0	0
AT1G29020	0	0	0	0	0	0
AT1G29025	0	0	0	0	0	0
AT1G29030	109	94	105	88	112	98
AT1G29040	240	213	210	176	204	202
AT1G29041	0	0	0	0	0	0
AT1G29050	62	51	41	40	45	31
AT1G29060	126	138	121	160	139	150
AT1G29070	4382	3462	3649	2598	2670	2112
AT1G29071	0	0	0	0	0	0
AT1G29080	0	0	0	0	0	0
AT1G29090	0	1	0	0	0	0
AT1G29100	0	0	0	0	0	0
AT1G29110	0	0	2	0	0	0
AT1G29120	514	563	672	629	784	682
AT1G29140	0	1	6	1	11	1
AT1G29150	1310	1343	1378	979	1101	1049
AT1G29160	37	30	13	6	20	11
AT1G29170	416	433	499	290	444	395
AT1G29179	0	0	0	0	0	0
AT1G29180	0	0	0	0	0	0
AT1G29195	12	7	13	7	7	4
AT1G29200	20	22	14	8	10	12
AT1G29210	0	0	0	0	0	0
AT1G29220	421	415	326	365	388	372
AT1G29230	8	11	10	2	3	5
AT1G29240	129	155	158	93	85	79
AT1G29250	629	529	402	323	307	211
AT1G29260	436	480	593	405	514	454
AT1G29265	0	0	0	0	0	0
AT1G29270	0	0	0	0	0	0
AT1G29280	1	4	10	5	11	7
AT1G29290	1	1	0	1	0	1
AT1G29300	64	57	53	38	48	40
AT1G29310	388	323	415	258	283	206
AT1G29320	327	299	222	186	214	189
AT1G29330	20	25	29	30	35	24
AT1G29340	1287	1573	1650	1344	1594	1537
AT1G29350	1560	1649	1937	1166	1387	1448
AT1G29355	2	2	6	7	6	2
AT1G29357	115	161	174	165	236	201
AT1G29370	1884	1961	2034	1322	1705	1460
AT1G29380	97	125	123	76	75	80
AT1G29390	325	392	483	288	308	310
AT1G29395	520	668	876	311	331	496
AT1G29400	1378	1496	2261	1587	2097	1879
AT1G29410	82	94	127	123	144	116
AT1G29418	269	207	184	141	170	119
AT1G29420	20	17	24	17	25	13
AT1G29430	831	949	723	704	996	786
AT1G29435	0	0	0	0	0	0
AT1G29440	771	955	1057	672	759	767
AT1G29450	555	716	500	372	461	456
AT1G29460	401	536	790	453	570	552
AT1G29465	119	122	124	62	84	97
AT1G29470	7244	7057	7337	5013	6139	5600
AT1G29480	0	0	0	0	0	0
AT1G29490	13	22	22	4	15	8
AT1G29500	397	389	337	332	350	313
AT1G29510	265	311	343	200	213	162
AT1G29520	218	212	278	200	208	181
AT1G29530	564	575	614	567	615	566
AT1G29535	3	3	3	3	1	4
AT1G29540	0	0	0	0	1	2
AT1G29550	192	185	198	176	232	153
AT1G29560	120	105	103	103	164	157
AT1G29570	0	0	0	0	0	0
AT1G29580	0	0	0	0	0	0
AT1G29590	59	45	44	59	54	57
AT1G29600	20	39	21	52	63	64
AT1G29620	0	0	0	0	0	0
AT1G29630	158	108	129	82	121	86
AT1G29640	6	6	5	5	8	4
AT1G29660	6158	7380	7392	5536	4652	4709
AT1G29670	3906	4531	4623	4110	4219	4128
AT1G29680	0	0	0	0	0	1
AT1G29690	183	218	250	295	332	306
AT1G29700	1048	1084	1107	1275	1439	1230
AT1G29710	184	181	252	134	174	145
AT1G29720	430	505	645	750	869	622
AT1G29730	68	65	76	141	179	163
AT1G29740	15	9	12	24	18	13
AT1G29750	559	609	614	550	622	569
AT1G29760	260	279	375	240	218	277
AT1G29770	0	0	3	1	9	2
AT1G29775	3	2	0	4	2	7
AT1G29780	1	2	5	0	1	3
AT1G29785	228	173	166	163	206	152
AT1G29790	378	408	471	386	464	447
AT1G29800	188	247	339	199	256	209
AT1G29810	154	141	175	191	218	181
AT1G29820	252	301	302	273	307	248
AT1G29830	1	2	2	2	1	0
AT1G29840	201	169	221	123	127	121
AT1G29850	1117	1162	905	945	1232	954
AT1G29860	0	1	0	0	0	0
AT1G29870	0	0	0	0	0	0
AT1G29880	3005	3086	3415	2299	2745	2347
AT1G29890	728	697	733	520	614	580
AT1G29900	3311	3415	3372	2123	2409	2168
AT1G29910	171403	178938	184898	118253	150144	129783
AT1G29920	209823	218716	200270	203805	234577	183680
AT1G29930	371157	411647	374114	301613	371482	329670
AT1G29940	811	846	887	443	635	531
AT1G29950	364	492	607	1102	1412	1283
AT1G29960	85	72	62	111	139	133
AT1G29962	0	0	0	0	1	0
AT1G29965	440	401	424	289	323	252
AT1G29970	118	134	138	120	128	104
AT1G29980	212	184	176	81	114	61
AT1G29990	597	582	518	425	626	477
AT1G30000	541	649	824	594	730	683
AT1G30010	135	145	203	168	239	211
AT1G30020	0	0	0	1	0	0
AT1G30040	18	42	24	26	10	19
AT1G30050	0	0	0	0	0	0
AT1G30060	2	0	0	0	0	0
AT1G30070	186	118	136	94	74	72
AT1G30080	2	0	1	3	1	0
AT1G30090	342	364	441	390	436	454
AT1G30100	15	8	17	2	6	10
AT1G30110	79	81	76	69	75	54
AT1G30120	1718	1709	1895	1435	1622	1272
AT1G30130	263	232	271	251	335	196
AT1G30135	1	3	0	2	1	1
AT1G30140	0	0	0	0	0	0
AT1G30160	10	11	6	12	11	11
AT1G30170	0	0	0	0	0	0
AT1G30190	23	42	26	15	22	12
AT1G30200	707	923	1009	1076	1329	1310
AT1G30210	1278	1242	1345	1289	1505	1420
AT1G30220	3	0	1	0	0	3
AT1G30230	5957	5237	4425	3552	4260	3102
AT1G30240	225	223	223	199	227	236
AT1G30250	240	264	250	244	230	266
AT1G30260	277	342	435	305	336	326
AT1G30270	295	420	458	491	604	600
AT1G30280	181	250	155	159	175	218
AT1G30282	49	99	91	4	109	34
AT1G30290	296	336	419	254	367	336
AT1G30300	129	151	144	115	135	139
AT1G30320	187	255	243	152	258	208
AT1G30330	889	1109	1192	976	1124	1080
AT1G30350	0	0	0	0	0	0
AT1G30360	4354	4934	5426	4120	4239	4534
AT1G30370	0	0	1	4	4	0
AT1G30380	109943	111229	107670	94253	113464	91088
AT1G30400	2910	3491	4143	2965	4139	3627
AT1G30410	644	782	813	963	1124	957
AT1G30420	157	175	210	168	165	182
AT1G30440	1808	1940	1829	1278	1382	1305
AT1G30450	658	750	949	679	810	654
AT1G30455	0	0	0	0	0	0
AT1G30460	293	331	255	184	272	232
AT1G30470	1606	1678	1900	1359	1629	1495
AT1G30473	0	0	0	0	0	0
AT1G30475	9	12	10	13	12	10
AT1G30480	206	240	205	167	224	215
AT1G30490	440	467	500	368	389	351
AT1G30500	72	83	92	62	106	126
AT1G30510	318	287	237	261	275	249
AT1G30515	5	2	3	3	3	4
AT1G30520	1019	1079	1094	1038	1069	954
AT1G30530	783	517	523	397	374	271
AT1G30540	163	187	200	194	210	196
AT1G30545	58	73	97	80	93	70
AT1G30550	0	0	0	0	0	0
AT1G30560	0	0	0	0	0	0
AT1G30570	780	861	940	634	648	646
AT1G30580	3357	2767	2933	2225	2598	2214
AT1G30590	780	783	805	602	786	659
AT1G30600	116	133	124	58	75	80
AT1G30610	1178	1212	1259	1019	1312	1281
AT1G30620	264	235	219	214	243	197
AT1G30630	1469	1369	1380	1078	1240	1007
AT1G30640	141	185	160	272	312	301
AT1G30650	0	0	0	0	0	0
AT1G30660	1	2	5	4	2	1
AT1G30670	0	0	0	0	0	0
AT1G30680	898	987	1084	694	832	689
AT1G30690	1486	1642	1150	1183	1258	1172
AT1G30700	0	0	0	0	2	0
AT1G30710	0	0	0	0	0	0
AT1G30720	1	0	0	3	5	2
AT1G30730	0	0	1	3	1	4
AT1G30740	0	1	0	1	2	1
AT1G30750	0	0	0	0	0	0
AT1G30755	103	124	123	183	233	171
AT1G30757	18	21	13	23	24	26
AT1G30760	10	4	1	1	0	0
AT1G30780	0	0	0	0	0	0
AT1G30790	0	0	0	0	0	0
AT1G30795	0	0	0	0	0	0
AT1G30800	0	0	0	0	0	1
AT1G30810	654	759	921	615	928	848
AT1G30814	0	0	0	0	0	0
AT1G30820	548	554	563	306	490	336
AT1G30825	151	162	197	112	110	121
AT1G30840	15	34	18	18	29	29
AT1G30845	27	35	43	26	26	23
AT1G30850	0	0	0	0	0	0
AT1G30860	38	40	64	104	107	115
AT1G30870	0	0	1	0	1	0
AT1G30880	513	557	452	385	416	301
AT1G30890	244	265	295	196	210	175
AT1G30900	74	68	126	34	56	74
AT1G30910	445	502	509	445	513	460
AT1G30920	1	0	0	0	0	1
AT1G30925	0	0	0	0	0	0
AT1G30930	0	0	0	0	0	0
AT1G30950	0	0	0	1	0	0
AT1G30960	159	129	129	56	88	63
AT1G30970	692	682	690	532	711	617
AT1G30972	0	0	0	0	0	0
AT1G30974	0	0	0	0	0	0
AT1G30990	0	0	0	0	0	0
AT1G31000	0	0	0	0	0	0
AT1G31010	84	73	90	43	55	51
AT1G31020	115	106	126	87	136	109
AT1G31040	5	8	2	4	5	1
AT1G31050	1	4	3	2	3	1
AT1G31070	582	581	587	368	377	384
AT1G31080	0	0	0	0	0	0
AT1G31090	0	0	0	0	0	0
AT1G31095	0	0	0	0	0	0
AT1G31110	0	0	0	0	0	0
AT1G31120	74	120	135	58	99	79
AT1G31130	468	533	523	496	607	563
AT1G31140	0	0	2	0	0	0
AT1G31150	294	297	376	232	339	252
AT1G31160	741	646	532	558	532	452
AT1G31163	0	0	0	0	0	0
AT1G31170	336	396	547	407	456	410
AT1G31173	213	283	259	281	280	259
AT1G31175	199	181	239	215	276	228
AT1G31180	1528	1371	1362	948	1010	803
AT1G31190	1511	1692	1787	1830	2041	1747
AT1G31200	44	57	41	28	45	31
AT1G31220	177	171	179	120	161	120
AT1G31230	1976	2081	2307	1870	2014	1952
AT1G31240	28	28	24	21	15	17
AT1G31243	6	5	5	5	8	8
AT1G31250	0	0	0	0	0	0
AT1G31255	0	0	0	0	0	0
AT1G31258	1	2	4	5	10	8
AT1G31260	0	0	0	0	0	0
AT1G31270	2	0	0	0	0	0
AT1G31280	231	336	384	291	380	337
AT1G31290	3	5	15	7	19	11
AT1G31300	379	372	511	442	491	417
AT1G31310	1	0	0	0	1	0
AT1G31320	32	38	26	16	26	20
AT1G31330	123082	118395	106824	77970	77320	76676
AT1G31335	60	74	75	36	35	39
AT1G31340	1369	1543	1712	1122	1306	1105
AT1G31350	216	229	291	166	221	180
AT1G31358	0	0	0	0	0	0
AT1G31360	263	269	315	292	336	324
AT1G31370	0	0	0	0	0	0
AT1G31380	0	0	0	0	0	0
AT1G31390	0	0	0	0	0	0
AT1G31400	0	0	0	0	0	0
AT1G31410	789	966	853	841	973	896
AT1G31420	3374	3528	4049	3884	4352	4006
AT1G31430	52	54	50	26	29	40
AT1G31440	754	824	883	717	801	791
AT1G31450	0	0	0	0	0	0
AT1G31460	57	52	78	55	56	43
AT1G31470	37	41	47	44	43	49
AT1G31480	313	360	306	304	345	321
AT1G31485	16	20	27	19	20	20
AT1G31490	8	4	11	9	1	13
AT1G31500	456	385	485	370	460	365
AT1G31510	0	0	0	0	0	0
AT1G31520	0	0	0	0	0	0
AT1G31530	0	0	0	0	0	0
AT1G31540	764	1095	1286	1290	1433	1610
AT1G31550	103	117	150	112	126	120
AT1G31555	0	0	0	0	0	0
AT1G31580	1592	2165	2237	2114	2208	2219
AT1G31600	312	371	391	287	314	315
AT1G31620	0	0	0	0	0	0
AT1G31630	0	0	0	0	0	0
AT1G31640	0	0	0	0	0	0
AT1G31650	1187	1135	1344	996	1227	1093
AT1G31660	945	867	720	479	667	466
AT1G31670	1	0	0	0	0	0
AT1G31690	722	501	433	220	371	204
AT1G31710	97	130	88	64	73	82
AT1G31720	17	21	20	30	21	17
AT1G31730	2145	2097	2588	1682	2091	2028
AT1G31740	0	0	0	3	0	0
AT1G31750	5	8	13	10	7	14
AT1G31760	33	22	16	17	14	24
AT1G31770	130	184	163	136	196	178
AT1G31772	0	0	0	0	0	0
AT1G31780	780	902	983	692	788	762
AT1G31790	61	48	65	45	58	59
