Gene	tpm_avg
ENSRNA049479833	0
ENSRNA049479834	0
ENSRNA049479836	0
ENSRNA049479841	0
ENSRNA049479846	0
ENSRNA049479851	0
ENSRNA049479857	0
ENSRNA049479860	0
ENSRNA049479862	0
ENSRNA049479866	0
ENSRNA049479872	0
ENSRNA049479876	0
ENSRNA049479878	0
ENSRNA049479882	0
ENSRNA049479887	0
ENSRNA049479893	0
ENSRNA049479897	0
ENSRNA049479903	0
ENSRNA049479906	0
ENSRNA049479911	0
ENSRNA049479914	0
ENSRNA049479923	0
ENSRNA049479927	0
ENSRNA049479930	0
ENSRNA049479933	0
ENSRNA049479936	0
ENSRNA049479938	0
ENSRNA049479939	0
ENSRNA049479941	0
ENSRNA049479943	0
ENSRNA049479945	0
ENSRNA049479948	0
ENSRNA049479975	0
ENSRNA049479980	0
ENSRNA049479993	0
ENSRNA049479997	0
ENSRNA049480000	0
ENSRNA049480017	35.1952945
ENSRNA049480023	14.625594
ENSRNA049480024	0
ENSRNA049480026	9.4628895
ENSRNA049480030	20.456097
ENSRNA049480032	0
ENSRNA049480033	0
ENSRNA049480035	0
ENSRNA049480036	0
ENSRNA049480037	0
ENSRNA049480042	0
ENSRNA049480044	0
ENSRNA049480045	0
ENSRNA049480047	0
ENSRNA049480049	0
ENSRNA049480057	0
ENSRNA049480064	0
ENSRNA049480238	0
ENSRNA049480240	0
ENSRNA049480247	0
ENSRNA049480282	0
ENSRNA049480359	8.3607935
ENSRNA049480363	12.9241025
ENSRNA049480365	0
ENSRNA049480369	0
ENSRNA049480373	0
ENSRNA049480375	0
ENSRNA049480377	0
ENSRNA049480378	0
ENSRNA049480382	0
ENSRNA049480385	0
ENSRNA049480389	0
ENSRNA049480402	0
ENSRNA049480419	0
ENSRNA049480636	0
ENSRNA049480640	0
ENSRNA049480641	0
ENSRNA049480644	0
ENSRNA049480663	3.5437815
ENSRNA049480667	0
ENSRNA049480671	0
ENSRNA049480677	0
ENSRNA049480679	0
ENSRNA049480683	0
ENSRNA049480685	0
ENSRNA049480687	0
ENSRNA049480688	0
ENSRNA049480690	0
ENSRNA049480693	0
ENSRNA049480696	0
ENSRNA049480697	0
ENSRNA049480699	0
ENSRNA049480702	0
ENSRNA049480706	0
ENSRNA049480709	0
ENSRNA049480714	0
ENSRNA049480719	0
ENSRNA049480722	0
ENSRNA049480725	0
ENSRNA049480731	0
ENSRNA049480741	0
ENSRNA049480746	0
ENSRNA049480751	0
ENSRNA049480759	0
ENSRNA049480852	0
ENSRNA049480996	0
ENSRNA049480997	0
ENSRNA049481000	0
ENSRNA049481022	0
ENSRNA049481031	0
ENSRNA049481042	0
ENSRNA049481149	0
ENSRNA049481201	0
ENSRNA049481221	14.752794
ENSRNA049481225	0
ENSRNA049481226	4.2732195
ENSRNA049481228	14.3747795
ENSRNA049481231	0
ENSRNA049481233	2.442467
ENSRNA049481235	0
ENSRNA049481238	0
ENSRNA049481241	0
ENSRNA049481245	0
ENSRNA049481249	0
ENSRNA049481252	0
ENSRNA049481255	0
ENSRNA049481258	0
ENSRNA049481261	0
ENSRNA049481265	0
ENSRNA049481273	0
ENSRNA049481276	0
ENSRNA049481278	0
ENSRNA049481281	0
ENSRNA049481294	0
ENSRNA049481298	0
ENSRNA049481313	0
ENSRNA049481316	0
ENSRNA049481324	0
ENSRNA049481330	0
ENSRNA049481332	0
ENSRNA049481338	0
ENSRNA049481344	0
ENSRNA049481349	0
ENSRNA049481350	0
ENSRNA049481352	0
ENSRNA049481629	0
ENSRNA049481630	1.8091125
ENSRNA049481632	0
ENSRNA049481634	0
ENSRNA049481637	0
ENSRNA049481639	0
ENSRNA049481642	0
ENSRNA049481645	0
ENSRNA049481650	0
ENSRNA049481654	0
ENSRNA049481658	0
ENSRNA049481660	0
ENSRNA049481667	0
ENSRNA049481680	0
ENSRNA049481687	0
ENSRNA049481692	0
ENSRNA049481703	0
ENSRNA049481706	0
ENSRNA049481712	1565.9477555
ENSRNA049481741	0
ENSRNA049481743	0
ENSRNA049481744	45.247267
ENSRNA049482006	0
ENSRNA049482413	2.663628
ENSRNA049482417	0
ENSRNA049482419	0
ENSRNA049482421	0
ENSRNA049482424	0
ENSRNA049482425	0
ENSRNA049482429	0
ENSRNA049482432	0
ENSRNA049482436	0
ENSRNA049482440	0
ENSRNA049482445	0
ENSRNA049482448	0
ENSRNA049482451	0
ENSRNA049482453	0
ENSRNA049482456	0
ENSRNA049482457	0
ENSRNA049482466	0
ENSRNA049482471	0
ENSRNA049482476	0
ENSRNA049482478	0
ENSRNA049482483	0
ENSRNA049482484	0
ENSRNA049482514	0
ENSRNA049482525	0
ENSRNA049482790	1.371773
ENSRNA049482791	0.977075
ENSRNA049482792	9.8284045
ENSRNA049482797	0
ENSRNA049482800	0
ENSRNA049482900	0
ENSRNA049483096	0
ENSRNA049483104	1.3940985
ENSRNA049483105	2.6736305
ENSRNA049483107	0
ENSRNA049483108	1.151368
ENSRNA049483111	0
ENSRNA049483115	0
ENSRNA049483118	38.854737
ENSRNA049483120	0
ENSRNA049483126	0
ENSRNA049483131	0
ENSRNA049483138	0
ENSRNA049483144	0
ENSRNA049483146	0
ENSRNA049483158	0
ENSRNA049483161	23.950782
ENSRNA049483174	0
ENSRNA049483194	0
ENSRNA049483199	0
ENSRNA049483200	0
ENSRNA049483202	0
ENSRNA049483205	0
ENSRNA049483207	0
ENSRNA049483441	0
ENSRNA049483594	39.7361725
ENSRNA049483596	411.711842
ENSRNA049483597	21.4362575
ENSRNA049483598	0.2859925
ENSRNA049483600	3.6749475
ENSRNA049483602	0
ENSRNA049483603	109.1751715
ENSRNA049483605	289.8553015
ENSRNA049483607	17457.0924525
ENSRNA049483609	421.895222
ENSRNA049483611	0
ENSRNA049483639	0
ENSRNA049483640	102.2297625
ENSRNA049483650	127.1778905
ENSRNA049483653	25.293256
ENSRNA049483655	60.2962065
ENSRNA049483658	32.310333
ENSRNA049483659	18.4602
ENSRNA049483660	32.852796
ENSRNA049483662	772.0750385
ENSRNA049483664	211.335154
ENSRNA049483666	1.1170315
ENSRNA049483667	251.462846
ENSRNA049483675	24.6750395
ENSRNA049483677	24.645172
ENSRNA049483678	24.585786
ENSRNA049483680	0
ENSRNA049483681	0
ENSRNA049483683	0
ENSRNA049483684	0
ENSRNA049483688	0
ENSRNA049483690	0
ENSRNA049483692	0
ENSRNA049483695	0
ENSRNA049483697	0
ENSRNA049483698	0
ENSRNA049483706	0
ENSRNA049483710	0
ENSRNA049483713	0
ENSRNA049483717	0
ENSRNA049483719	0
ENSRNA049483720	0
ENSRNA049483725	0
ENSRNA049483727	0
ENSRNA049483729	0
ENSRNA049483730	0
ENSRNA049483731	0
ENSRNA049483739	0
ENSRNA049483744	0
ENSRNA049483746	0
ENSRNA049483749	0
ENSRNA049483752	0
ENSRNA049483754	0
ENSRNA049483755	0
ENSRNA049483759	0
ENSRNA049483763	0
ENSRNA049483767	0
ENSRNA049483773	0
ENSRNA049483775	0
ENSRNA049483777	0
ENSRNA049483780	0
ENSRNA049483783	0
ENSRNA049483787	0
ENSRNA049483794	0
ENSRNA049483796	0
ENSRNA049483819	0
ENSRNA049483820	0
ENSRNA049483822	0
ENSRNA049483927	0
ENSRNA049484243	0
ENSRNA049484246	0
ENSRNA049484263	0
ENSRNA049484264	0
ENSRNA049484277	0
ENSRNA049484279	0
ENSRNA049484288	0
ENSRNA049484293	0
ENSRNA049484440	1.907233
ENSRNA049484442	2.08213
ENSRNA049484443	0
ENSRNA049484445	0
ENSRNA049484446	0
ENSRNA049484447	0
ENSRNA049484449	0
ENSRNA049484450	0
ENSRNA049484452	0
ENSRNA049484453	0
ENSRNA049484455	0
ENSRNA049484456	0
ENSRNA049484459	0
ENSRNA049484461	0
ENSRNA049484464	0
ENSRNA049484467	0
ENSRNA049484470	0
ENSRNA049484472	0
ENSRNA049484480	0
ENSRNA049484481	0
ENSRNA049484482	0
ENSRNA049484485	0
ENSRNA049484489	0
ENSRNA049484490	0
ENSRNA049484491	0
ENSRNA049484576	9.0523805
ENSRNA049484579	1.468919
ENSRNA049484582	42.865845
ENSRNA049484584	12.4973395
ENSRNA049484585	46.6190835
ENSRNA049484587	90.697845
ENSRNA049484589	10.8069095
ENSRNA049484591	26.6437095
ENSRNA049484592	2.7741575
ENSRNA049484593	0.3015345
ENSRNA049484594	12.328323
ENSRNA049484623	0
ENSRNA049484628	0
ENSRNA049484630	26.569231
ENSRNA049484632	0
ENSRNA049484633	308.1815185
ENSRNA049484637	0
ENSRNA049484638	0
ENSRNA049484640	0
ENSRNA049484642	0
ENSRNA049484834	1.89543
