TXNAME	GENEID
KQL24429	SETIT_031815mg
KQL24430	SETIT_033663mg
KQL24431	SETIT_030987mg
KQL24432	SETIT_032720mg
KQL24436	SETIT_029458mg
KQL24439	SETIT_029802mg
KQL24440	SETIT_033506mg
KQL24442	SETIT_033636mg
KQL24443	SETIT_032740mg
KQL24449	SETIT_030496mg
KQL24450	SETIT_031097mg
KQL24452	SETIT_031905mg
KQL24453	SETIT_029660mg
KQL24454	SETIT_031427mg
KQL24455	SETIT_031427mg
ENSRNA049910451-T1	ENSRNA049910451
ENSRNA050012725-T1	ENSRNA050012725
KQL24457	SETIT_029532mg
KQL24458	SETIT_030629mg
KQL24461	SETIT_033666mg
KQL24460	SETIT_033666mg
KQL24462	SETIT_033666mg
KQL24468	SETIT_032782mg
KQL24469	SETIT_033214mg
KQL24470	SETIT_029985mg
KQL24474	SETIT_032416mg
KQL24475	SETIT_032704mg
KQL24476	SETIT_028716mg
KQL24480	SETIT_031658mg
KQL24484	SETIT_033463mg
KQL24483	SETIT_033463mg
KQL24485	SETIT_029471mg
KQL24488	SETIT_032085mg
KQL24496	SETIT_033615mg
KQL24497	SETIT_031531mg
KQL24498	SETIT_029708mg
KQL24499	SETIT_030429mg
KQL24500	SETIT_030794mg
KQL24501	SETIT_029714mg
KQL24502	SETIT_031986mg
KQL24503	SETIT_033622mg
KQL24509	SETIT_031130mg
KQL24511	SETIT_031093mg
KQL24514	SETIT_029465mg
KQL24515	SETIT_028734mg
KQL24516	SETIT_028941mg
KQL24521	SETIT_031892mg
KQL24522	SETIT_030258mg
KQL24523	SETIT_033568mg
KQL24524	SETIT_032353mg
KQL24525	SETIT_029887mg
KQL24526	SETIT_030651mg
KQL24528	SETIT_033505mg
KQL24529	SETIT_033505mg
KQL24530	SETIT_033505mg
KQL24531	SETIT_033464mg
KQL24532	SETIT_033784mg
KQL24534	SETIT_029359mg
KQL24535	SETIT_031679mg
KQL24542	SETIT_029462mg
KQL24545	SETIT_031794mg
KQL24546	SETIT_031708mg
KQL24551	SETIT_030103mg
KQL24553	SETIT_033080mg
KQL24555	SETIT_031825mg
KQL24556	SETIT_030223mg
KQL24557	SETIT_030223mg
KQL24559	SETIT_031098mg
KQL24560	SETIT_032133mg
KQL24561	SETIT_031865mg
KQL24563	SETIT_032872mg
KQL24564	SETIT_029148mg
KQL24565	SETIT_032763mg
KQL24568	SETIT_030954mg
KQL24569	SETIT_031875mg
KQL24570	SETIT_0288792mg
KQL24571	SETIT_0288791mg
KQL24572	SETIT_033384mg
KQL24577	SETIT_032907mg
KQL24579	SETIT_030282mg
KQL24580	SETIT_032780mg
KQL24583	SETIT_033656mg
KQL24581	SETIT_033656mg
KQL24582	SETIT_033656mg
KQL24589	SETIT_031489mg
KQL24590	SETIT_029472mg
KQL24591	SETIT_033730mg
KQL24592	SETIT_030530mg
KQL24593	SETIT_030596mg
KQL24595	SETIT_032335mg
KQL24596	SETIT_032618mg
KQL24597	SETIT_032329mg
KQL24600	SETIT_032591mg
KQL24603	SETIT_029019mg
KQL24604	SETIT_029019mg
KQL24605	SETIT_029019mg
KQL24606	SETIT_033455mg
KQL24607	SETIT_030521mg
KQL24609	SETIT_030708mg
KQL24610	SETIT_030708mg
KQL24611	SETIT_029324mg
KQL24612	SETIT_032434mg
KQL24625	SETIT_031255mg
KQL24630	SETIT_030568mg
KQL24635	SETIT_033105mg
KQL24636	SETIT_032251mg
KQL24639	SETIT_032228mg
KQL24641	SETIT_0309102mg
KQL24640	SETIT_0309102mg
KQL24643	SETIT_0309101mg
KQL24642	SETIT_0309101mg
KQL24644	SETIT_028830mg
KQL24645	SETIT_031037mg
KQL24646	SETIT_031037mg
KQL24647	SETIT_033235mg
KQL24652	SETIT_029505mg
KQL24654	SETIT_030919mg
KQL24655	SETIT_033675mg
KQL24658	SETIT_029116mg
KQL24659	SETIT_029116mg
KQL24661	SETIT_029116mg
KQL24657	SETIT_029116mg
KQL24660	SETIT_029116mg
KQL24668	SETIT_032340mg
KQL24669	SETIT_032055mg
KQL24670	SETIT_033153mg
KQL24671	SETIT_029508mg
KQL24672	SETIT_033224mg
KQL24676	SETIT_032002mg
KQL24678	SETIT_033707mg
KQL24681	SETIT_033684mg
KQL24682	SETIT_029783mg
KQL24689	SETIT_033515mg
KQL24693	SETIT_029980mg
KQL24694	SETIT_032921mg
KQL24695	SETIT_033295mg
KQL24696	SETIT_031026mg
KQL24701	SETIT_029118mg
KQL24700	SETIT_033461mg
KQL24704	SETIT_031989mg
KQL24706	SETIT_032674mg
KQL24708	SETIT_032914mg
KQL24710	SETIT_031977mg
KQL24712	SETIT_030563mg
KQL24717	SETIT_032433mg
KQL24719	SETIT_031671mg
KQL24718	SETIT_031671mg
KQL24723	SETIT_031521mg
KQL24722	SETIT_031521mg
KQL24720	SETIT_033507mg
KQL24721	SETIT_033588mg
KQL24725	SETIT_031782mg
KQL24729	SETIT_030329mg
KQL24730	SETIT_032857mg
KQL24731	SETIT_029575mg
KQL24741	SETIT_029292mg
KQL24740	SETIT_029292mg
KQL24742	SETIT_029292mg
KQL24744	SETIT_030501mg
KQL24748	SETIT_030567mg
KQL24754	SETIT_030109mg
KQL24753	SETIT_030109mg
KQL24755	SETIT_031452mg
KQL24757	SETIT_030553mg
KQL24758	SETIT_030023mg
KQL24759	SETIT_029686mg
KQL24760	SETIT_032412mg
KQL24761	SETIT_033549mg
KQL24764	SETIT_030004mg
KQL24768	SETIT_029704mg
KQL24769	SETIT_029704mg
KQL24771	SETIT_031973mg
KQL24772	SETIT_032745mg
KQL24774	SETIT_028869mg
KQL24776	SETIT_032881mg
KQL24777	SETIT_030056mg
KQL24780	SETIT_030549mg
KQL24781	SETIT_033100mg
KQL24782	SETIT_031940mg
KQL24783	SETIT_031834mg
KQL24785	SETIT_033558mg
KQL24789	SETIT_030067mg
KQL24792	SETIT_029603mg
KQL24800	SETIT_029404mg
KQL24806	SETIT_030785mg
KQL24807	SETIT_029891mg
KQL24810	SETIT_033230mg
KQL24812	SETIT_032421mg
KQL24822	SETIT_029706mg
KQL24824	SETIT_030333mg
KQL24825	SETIT_032994mg
KQL24828	SETIT_030298mg
KQL24829	SETIT_033499mg
KQL24831	SETIT_032246mg
KQL24832	SETIT_032884mg
KQL24834	SETIT_033487mg
KQL24839	SETIT_032605mg
KQL24840	SETIT_033283mg
KQL24841	SETIT_032078mg
KQL24842	SETIT_029713mg
KQL24843	SETIT_033024mg
KQL24844	SETIT_032036mg
KQL24845	SETIT_033562mg
KQL24850	SETIT_030616mg
KQL24851	SETIT_030616mg
KQL24852	SETIT_030616mg
KQL24853	SETIT_028935mg
KQL24854	SETIT_032118mg
KQL24857	SETIT_029228mg
KQL24859	SETIT_031246mg
KQL24858	SETIT_031246mg
KQL24862	SETIT_032496mg
KQL24864	SETIT_031187mg
KQL24866	SETIT_029302mg
KQL24865	SETIT_029302mg
KQL24868	SETIT_030822mg
KQL24869	SETIT_029415mg
KQL24872	SETIT_031364mg
KQL24873	SETIT_033381mg
KQL24874	SETIT_031190mg
KQL24875	SETIT_031347mg
KQL24876	SETIT_031151mg
KQL24877	SETIT_031151mg
KQL24878	SETIT_031151mg
KQL24885	SETIT_032706mg
KQL24886	SETIT_032332mg
KQL24887	SETIT_029641mg
KQL24889	SETIT_033564mg
KQL24893	SETIT_031046mg
KQL24897	SETIT_030049mg
KQL24894	SETIT_030049mg
KQL24896	SETIT_030049mg
KQL24895	SETIT_030049mg
KQL24902	SETIT_029054mg
KQL24905	SETIT_032150mg
KQL24907	SETIT_028965mg
ENSRNA049910450-T1	ENSRNA049910450
KQL24910	SETIT_033621mg
KQL24912	SETIT_028988mg
KQL24914	SETIT_031238mg
KQL24917	SETIT_028990mg
KQL24918	SETIT_028990mg
KQL24921	SETIT_029174mg
KQL24925	SETIT_029631mg
KQL24926	SETIT_033557mg
KQL24927	SETIT_033358mg
KQL24933	SETIT_029620mg
KQL24932	SETIT_029620mg
KQL24935	SETIT_032556mg
KQL24936	SETIT_032818mg
KQL24937	SETIT_033266mg
KQL24941	SETIT_033086mg
KQL24942	SETIT_033145mg
KQL24944	SETIT_029066mg
KQL24943	SETIT_029066mg
KQL24945	SETIT_029057mg
KQL24946	SETIT_031292mg
KQL24948	SETIT_032582mg
KQL24950	SETIT_032825mg
KQL24952	SETIT_031933mg
KQL24953	SETIT_032779mg
KQL24955	SETIT_031994mg
KQL24956	SETIT_032665mg
KQL24959	SETIT_032852mg
KQL24964	SETIT_032223mg
KQL24965	SETIT_033294mg
KQL24967	SETIT_031725mg
KQL24968	SETIT_031976mg
KQL24969	SETIT_032955mg
KQL24979	SETIT_029416mg
KQL24980	SETIT_029416mg
KQL24981	SETIT_030958mg
KQL24982	SETIT_030958mg
KQL24984	SETIT_029342mg
KQL24985	SETIT_029342mg
KQL24987	SETIT_031373mg
KQL24991	SETIT_031373mg
KQL24989	SETIT_031373mg
KQL24988	SETIT_031373mg
KQL24990	SETIT_031373mg
KQL24992	SETIT_029995mg
KQL24993	SETIT_029995mg
KQL24994	SETIT_032727mg
KQL24995	SETIT_032043mg
KQL25004	SETIT_033227mg
KQL25007	SETIT_030288mg
KQL25009	SETIT_029629mg
KQL25010	SETIT_029629mg
KQL25011	SETIT_029629mg
KQL25015	SETIT_033710mg
KQL25017	SETIT_030828mg
KQL25020	SETIT_030463mg
KQL25021	SETIT_028891mg
KQL25026	SETIT_030238mg
KQL25025	SETIT_030238mg
KQL25030	SETIT_031532mg
KQL25038	SETIT_028937mg
KQL25039	SETIT_031561mg
KQL25040	SETIT_029777mg
KQL25041	SETIT_033609mg
KQL25043	SETIT_031777mg
KQL25050	SETIT_031163mg
KQL25049	SETIT_031163mg
KQL25051	SETIT_031163mg
KQL25052	SETIT_031163mg
KQL25053	SETIT_031303mg
KQL25055	SETIT_029291mg
KQL25057	SETIT_029989mg
KQL25058	SETIT_029606mg
KQL25059	SETIT_029259mg
KQL25060	SETIT_029259mg
KQL25061	SETIT_029542mg
KQL25062	SETIT_029565mg
KQL25063	SETIT_032888mg
KQL25064	SETIT_032954mg
KQL25066	SETIT_030195mg
KQL25065	SETIT_033531mg
KQL25068	SETIT_031479mg
KQL25067	SETIT_031479mg
KQL25069	SETIT_031479mg
KQL25070	SETIT_033313mg
KQL25072	SETIT_029222mg
KQL25073	SETIT_031979mg
KQL25074	SETIT_033247mg
KQL25075	SETIT_031549mg
KQL25076	SETIT_030165mg
KQL25077	SETIT_032149mg
KQL25078	SETIT_0299732mg
KQL25079	SETIT_0299732mg
KQL25080	SETIT_0299731mg
KQL25081	SETIT_0299731mg
KQL25089	SETIT_029041mg
KQL25090	SETIT_030305mg
KQL25092	SETIT_030374mg
KQL25093	SETIT_030547mg
KQL25094	SETIT_029721mg
KQL25096	SETIT_030387mg
KQL25098	SETIT_031550mg
KQL25099	SETIT_032901mg
KQL25100	SETIT_032900mg
KQL25105	SETIT_032194mg
ENSRNA050012730-T1	ENSRNA050012730
KQL25110	SETIT_032795mg
KQL25111	SETIT_030654mg
KQL25118	SETIT_029088mg
KQL25119	SETIT_030100mg
KQL25121	SETIT_030613mg
KQL25122	SETIT_033173mg
KQL25123	SETIT_030552mg
KQL25126	SETIT_030748mg
KQL25129	SETIT_028643mg
KQL25130	SETIT_028643mg
KQL25131	SETIT_033763mg
KQL25132	SETIT_032722mg
KQL25137	SETIT_030287mg
KQL25138	SETIT_031025mg
KQL25142	SETIT_0301872mg
KQL25143	SETIT_0301871mg
KQL25147	SETIT_030009mg
KQL25150	SETIT_029947mg
KQL25151	SETIT_032991mg
KQL25152	SETIT_029533mg
KQL25153	SETIT_029533mg
KQL25154	SETIT_031988mg
KQL25156	SETIT_030806mg
KQL25159	SETIT_030489mg
KQL25160	SETIT_033134mg
KQL25161	SETIT_031239mg
KQL25171	SETIT_033032mg
KQL25176	SETIT_030324mg
KQL25177	SETIT_031396mg
KQL25178	SETIT_028801mg
KQL25180	SETIT_029669mg
KQL25181	SETIT_032143mg
KQL25185	SETIT_029644mg
KQL25190	SETIT_031175mg
KQL25191	SETIT_031175mg
KQL25193	SETIT_030150mg
KQL25194	SETIT_031149mg
KQL25195	SETIT_028780mg
KQL25197	SETIT_030266mg
KQL25198	SETIT_032859mg
KQL25202	SETIT_030349mg
KQL25206	SETIT_029595mg
KQL25207	SETIT_031033mg
KQL25209	SETIT_031055mg
KQL25221	SETIT_031523mg
KQL25222	SETIT_032767mg
KQL25224	SETIT_030428mg
KQL25228	SETIT_031320mg
KQL25229	SETIT_0310712mg
KQL25230	SETIT_0310711mg
KQL25231	SETIT_030867mg
KQL25232	SETIT_032625mg
KQL25233	SETIT_032103mg
KQL25234	SETIT_030734mg
KQL25235	SETIT_029843mg
KQL25236	SETIT_032628mg
KQL25237	SETIT_033261mg
KQL25238	SETIT_032696mg
KQL25239	SETIT_033423mg
KQL25240	SETIT_030505mg
KQL25243	SETIT_033158mg
KQL25252	SETIT_029264mg
KQL25253	SETIT_029264mg
KQL25251	SETIT_029264mg
KQL25254	SETIT_033731mg
KQL25258	SETIT_030841mg
KQL25257	SETIT_030841mg
KQL25259	SETIT_028928mg
KQL25260	SETIT_028928mg
KQL25261	SETIT_028928mg
KQL25272	SETIT_033539mg
KQL25274	SETIT_032721mg
KQL25275	SETIT_033459mg
KQL25276	SETIT_029509mg
KQL25279	SETIT_033757mg
KQL25280	SETIT_031527mg
KQL25290	SETIT_030332mg
KQL25291	SETIT_033447mg
KQL25293	SETIT_032242mg
KQL25296	SETIT_029399mg
KQL25308	SETIT_030866mg
KQL25309	SETIT_033819mg
KQL25310	SETIT_033819mg
KQL25313	SETIT_029236mg
KQL25314	SETIT_029236mg
KQL25315	SETIT_029236mg
KQL25316	SETIT_033631mg
KQL25318	SETIT_032875mg
KQL25321	SETIT_028870mg
KQL25322	SETIT_028870mg
KQL25323	SETIT_029372mg
KQL25324	SETIT_030604mg
KQL25325	SETIT_029040mg
KQL25326	SETIT_031638mg
KQL25327	SETIT_029286mg
KQL25334	SETIT_029523mg
KQL25335	SETIT_029523mg
KQL25337	SETIT_029769mg
KQL25339	SETIT_031764mg
KQL25340	SETIT_031926mg
KQL25342	SETIT_029756mg
KQL25346	SETIT_033628mg
KQL25348	SETIT_028753mg
KQL25352	SETIT_032616mg
KQL25353	SETIT_029588mg
KQL25354	SETIT_032219mg
KQL25355	SETIT_033776mg
KQL25356	SETIT_033361mg
KQL25359	SETIT_033722mg
KQL25360	SETIT_030388mg
KQL25361	SETIT_032741mg
KQL25362	SETIT_031900mg
KQL25363	SETIT_033255mg
KQL25364	SETIT_031747mg
KQL25367	SETIT_031573mg
KQL25369	SETIT_031324mg
KQL25370	SETIT_030031mg
KQL25372	SETIT_029623mg
KQL25375	SETIT_030591mg
KQL25377	SETIT_030265mg
KQL25378	SETIT_030265mg
KQL25379	SETIT_032524mg
KQL25381	SETIT_033567mg
KQL25382	SETIT_030869mg
KQL25383	SETIT_030998mg
KQL25384	SETIT_031001mg
KQL25386	SETIT_032956mg
KQL25387	SETIT_033773mg
KQL25391	SETIT_033194mg
KQL25392	SETIT_030433mg
KQL25395	SETIT_030668mg
KQL25396	SETIT_031267mg
KQL25398	SETIT_029397mg
KQL25399	SETIT_029397mg
KQL25400	SETIT_030512mg
KQL25404	SETIT_028908mg
KQL25405	SETIT_033398mg
KQL25406	SETIT_030094mg
KQL25408	SETIT_031983mg
KQL25409	SETIT_030812mg
KQL25414	SETIT_031018mg
KQL25413	SETIT_031018mg
KQL25415	SETIT_030330mg
KQL25423	SETIT_029773mg
KQL25425	SETIT_030983mg
KQL25426	SETIT_031518mg
KQL25433	SETIT_031007mg
KQL25434	SETIT_032440mg
KQL25435	SETIT_030480mg
KQL25437	SETIT_033329mg
KQL25438	SETIT_032473mg
KQL25439	SETIT_030156mg
KQL25440	SETIT_029123mg
KQL25441	SETIT_030710mg
KQL25442	SETIT_033150mg
KQL25444	SETIT_029202mg
KQL25445	SETIT_029202mg
KQL25446	SETIT_029202mg
KQL25449	SETIT_030750mg
KQL25451	SETIT_031711mg
KQL25454	SETIT_031068mg
KQL25457	SETIT_031363mg
KQL25458	SETIT_033782mg
KQL25459	SETIT_030010mg
KQL25460	SETIT_032017mg
KQL25461	SETIT_029476mg
KQL25463	SETIT_029823mg
KQL25468	SETIT_030636mg
KQL25466	SETIT_030636mg
KQL25467	SETIT_030636mg
KQL25469	SETIT_030759mg
KQL25470	SETIT_030759mg
KQL25475	SETIT_033262mg
KQL25476	SETIT_030437mg
KQL25477	SETIT_033171mg
KQL25482	SETIT_029393mg
KQL25484	SETIT_030917mg
KQL25487	SETIT_030943mg
KQL25489	SETIT_032216mg
KQL25491	SETIT_029428mg
KQL25492	SETIT_029428mg
KQL25493	SETIT_029428mg
KQL25495	SETIT_029865mg
KQL25498	SETIT_031276mg
KQL25499	SETIT_032803mg
KQL25500	SETIT_030253mg
KQL25501	SETIT_030044mg
KQL25507	SETIT_031438mg
KQL25508	SETIT_031395mg
KQL25510	SETIT_029643mg
KQL25511	SETIT_030797mg
KQL25512	SETIT_029521mg
KQL25514	SETIT_030722mg
KQL25515	SETIT_030722mg
KQL25517	SETIT_030964mg
KQL25519	SETIT_033382mg
KQL25520	SETIT_032405mg
KQL25522	SETIT_032302mg
KQL25524	SETIT_030121mg
KQL25525	SETIT_032178mg
KQL25526	SETIT_029879mg
KQL25533	SETIT_031776mg
KQL25534	SETIT_033546mg
KQL25538	SETIT_028996mg
KQL25537	SETIT_028996mg
KQL25539	SETIT_030805mg
KQL25540	SETIT_029392mg
KQL25541	SETIT_030292mg
KQL25542	SETIT_030292mg
KQL25543	SETIT_030292mg
KQL25544	SETIT_033691mg
KQL25551	SETIT_032211mg
KQL25552	SETIT_032961mg
KQL25554	SETIT_031437mg
KQL25559	SETIT_031416mg
KQL25564	SETIT_031412mg
KQL25566	SETIT_033043mg
KQL25568	SETIT_031398mg
KQL25572	SETIT_031352mg
KQL25573	SETIT_032097mg
KQL25575	SETIT_029694mg
KQL25579	SETIT_033768mg
KQL25580	SETIT_033768mg
KQL25582	SETIT_033768mg
KQL25581	SETIT_033768mg
KQL25585	SETIT_029045mg
KQL25590	SETIT_029507mg
KQL25591	SETIT_029489mg
KQL25594	SETIT_030844mg
KQL25596	SETIT_031528mg
KQL25597	SETIT_029325mg
KQL25599	SETIT_031282mg
KQL25598	SETIT_031282mg
KQL25607	SETIT_032100mg
KQL25608	SETIT_033276mg
KQL25609	SETIT_033310mg
KQL25617	SETIT_028742mg
KQL25618	SETIT_033402mg
KQL25620	SETIT_030485mg
KQL25619	SETIT_030485mg
KQL25623	SETIT_032710mg
KQL25626	SETIT_032292mg
KQL25628	SETIT_031879mg
KQL25630	SETIT_031375mg
KQL25635	SETIT_033700mg
KQL25636	SETIT_032307mg
KQL25637	SETIT_032927mg
KQL25638	SETIT_031108mg
KQL25642	SETIT_029072mg
KQL25644	SETIT_032568mg
KQL25646	SETIT_031449mg
KQL25647	SETIT_029859mg
KQL25649	SETIT_029079mg
KQL25650	SETIT_028922mg
KQL25652	SETIT_029540mg
KQL25653	SETIT_031312mg
KQL25658	SETIT_029432mg
KQL25659	SETIT_029360mg
KQL25665	SETIT_029809mg
KQL25667	SETIT_033484mg
KQL25666	SETIT_033755mg
KQL25668	SETIT_032493mg
ENSRNA049910449-T1	ENSRNA049910449
KQL25669	SETIT_030291mg
KQL25670	SETIT_028877mg
KQL25672	SETIT_033462mg
KQL25675	SETIT_030263mg
KQL25674	SETIT_030263mg
KQL25683	SETIT_032580mg
KQL25684	SETIT_029087mg
KQL25685	SETIT_029087mg
KQL25686	SETIT_029442mg
KQL25688	SETIT_032968mg
KQL25689	SETIT_029635mg
KQL25690	SETIT_031420mg
KQL25691	SETIT_032354mg
KQL25692	SETIT_029577mg
KQL25693	SETIT_0322552mg
KQL25694	SETIT_0322551mg
KQL25695	SETIT_029396mg
KQL25696	SETIT_029396mg
KQL25700	SETIT_031911mg
KQL25701	SETIT_032639mg
KQL25702	SETIT_031141mg
KQL25713	SETIT_033221mg
KQL25714	SETIT_030356mg
KQL25715	SETIT_030356mg
KQL25716	SETIT_030356mg
KQL25719	SETIT_031409mg
KQL25720	SETIT_031409mg
KQL25718	SETIT_033786mg
KQL25721	SETIT_030431mg
KQL25722	SETIT_032297mg
KQL25723	SETIT_030134mg
KQL25725	SETIT_030809mg
KQL25727	SETIT_032983mg
KQL25734	SETIT_031670mg
KQL25736	SETIT_030824mg
KQL25744	SETIT_033486mg
KQL25745	SETIT_028890mg
KQL25747	SETIT_029175mg
KQL25748	SETIT_029043mg
KQL25751	SETIT_030952mg
KQL25752	SETIT_030754mg
KQL25754	SETIT_033349mg
KQL25755	SETIT_029452mg
KQL25756	SETIT_033204mg
KQL25758	SETIT_030648mg
KQL25759	SETIT_030131mg
KQL25763	SETIT_029499mg
KQL25765	SETIT_031016mg
KQL25767	SETIT_031332mg
KQL25768	SETIT_031332mg
KQL25766	SETIT_031332mg
KQL25769	SETIT_029552mg
KQL25772	SETIT_030111mg
KQL25773	SETIT_030111mg
KQL25775	SETIT_032571mg
KQL25776	SETIT_031914mg
KQL25778	SETIT_030065mg
KQL25779	SETIT_031881mg
KQL25781	SETIT_032876mg
KQL25782	SETIT_031023mg
KQL25784	SETIT_029559mg
KQL25786	SETIT_029765mg
KQL25789	SETIT_028920mg
KQL25790	SETIT_033070mg
KQL25795	SETIT_032917mg
KQL25796	SETIT_033560mg
KQL25798	SETIT_029375mg
KQL25800	SETIT_029375mg
KQL25799	SETIT_029375mg
KQL25803	SETIT_029993mg
KQL25804	SETIT_029993mg
KQL25808	SETIT_032947mg
KQL25809	SETIT_031217mg
KQL25811	SETIT_032087mg
KQL25812	SETIT_032768mg
KQL25813	SETIT_030098mg
KQL25814	SETIT_033112mg
KQL25816	SETIT_032339mg
KQL25823	SETIT_029654mg
KQL25827	SETIT_031165mg
KQL25829	SETIT_028862mg
KQL25830	SETIT_033586mg
KQL25833	SETIT_030144mg
KQL25838	SETIT_030851mg
KQL25836	SETIT_030851mg
KQL25835	SETIT_030851mg
KQL25837	SETIT_030851mg
KQL25842	SETIT_031502mg
KQL25843	SETIT_029927mg
KQL25844	SETIT_033823mg
KQL25845	SETIT_032142mg
KQL25846	SETIT_033698mg
KQL25848	SETIT_031290mg
KQL25849	SETIT_031290mg
KQL25851	SETIT_029039mg
KQL25852	SETIT_030295mg
KQL25853	SETIT_030045mg
KQL25855	SETIT_032656mg
KQL25857	SETIT_029060mg
KQL25861	SETIT_029753mg
KQL25859	SETIT_029753mg
KQL25860	SETIT_029753mg
KQL25864	SETIT_031792mg
KQL25867	SETIT_030364mg
KQL25868	SETIT_028955mg
KQL25871	SETIT_030872mg
KQL25872	SETIT_029215mg
KQL25876	SETIT_031844mg
KQL25878	SETIT_030672mg
KQL25880	SETIT_030672mg
KQL25881	SETIT_030672mg
KQL25879	SETIT_030672mg
KQL25884	SETIT_030617mg
KQL25885	SETIT_030617mg
KQL25886	SETIT_030617mg
KQL25882	SETIT_033625mg
KQL25883	SETIT_033658mg
KQL25887	SETIT_029770mg
KQL25893	SETIT_032912mg
KQL25895	SETIT_032910mg
KQL25896	SETIT_032732mg
KQL25897	SETIT_029992mg
KQL25898	SETIT_032624mg
KQL25902	SETIT_029205mg
KQL25903	SETIT_029346mg
KQL25906	SETIT_029346mg
KQL25904	SETIT_029346mg
KQL25905	SETIT_029346mg
KQL25907	SETIT_029332mg
KQL25908	SETIT_0325662mg
KQL25909	SETIT_0325661mg
KQL25911	SETIT_033608mg
KQL25919	SETIT_031154mg
KQL25920	SETIT_032270mg
KQL25921	SETIT_032170mg
KQL25923	SETIT_030645mg
KQL25922	SETIT_033580mg
KQL25925	SETIT_0333792mg
KQL25926	SETIT_0333791mg
KQL25928	SETIT_029485mg
KQL25930	SETIT_030701mg
KQL25929	SETIT_030701mg
KQL25931	SETIT_029028mg
KQL25932	SETIT_0291152mg
KQL25933	SETIT_0291151mg
KQL25934	SETIT_032764mg
KQL25935	SETIT_029230mg
KQL25936	SETIT_029230mg
KQL25939	SETIT_028718mg
KQL25942	SETIT_030365mg
KQL25946	SETIT_033460mg
KQL25947	SETIT_028916mg
KQL25948	SETIT_028916mg
KQL25951	SETIT_033178mg
KQL25952	SETIT_029784mg
KQL25955	SETIT_032299mg
KQL25956	SETIT_033155mg
KQL25964	SETIT_028969mg
KQL25965	SETIT_032809mg
KQL25967	SETIT_029248mg
KQL25968	SETIT_031539mg
KQL25969	SETIT_031539mg
KQL25970	SETIT_031828mg
KQL25971	SETIT_033339mg
KQL25972	SETIT_032694mg
KQL25975	SETIT_033196mg
KQL25976	SETIT_031857mg
KQL25977	SETIT_0290022mg
KQL25979	SETIT_0290022mg
KQL25978	SETIT_0290022mg
KQL25980	SETIT_0290021mg
KQL25981	SETIT_0290021mg
KQL25982	SETIT_0290021mg
KQL25983	SETIT_032210mg
KQL25984	SETIT_028833mg
KQL25986	SETIT_032998mg
KQL25992	SETIT_029460mg
KQL25993	SETIT_029460mg
KQL25996	SETIT_029238mg
KQL25995	SETIT_029238mg
KQL25997	SETIT_029238mg
KQL25998	SETIT_029238mg
KQL26003	SETIT_031215mg
KQL26004	SETIT_031931mg
KQL26005	SETIT_031991mg
KQL26012	SETIT_033771mg
KQL26014	SETIT_029025mg
KQL26018	SETIT_028765mg
KQL26022	SETIT_029464mg
KQL26023	SETIT_033238mg
KQL26024	SETIT_031756mg
KQL26025	SETIT_031546mg
KQL26026	SETIT_033587mg
KQL26028	SETIT_032300mg
KQL26031	SETIT_028861mg
KQL26032	SETIT_028861mg
KQL26030	SETIT_028861mg
KQL26034	SETIT_028703mg
KQL26037	SETIT_028737mg
KQL26042	SETIT_030075mg
KQL26043	SETIT_030075mg
KQL26049	SETIT_033360mg
KQL26050	SETIT_033286mg
KQL26051	SETIT_030200mg
KQL26052	SETIT_030181mg
KQL26055	SETIT_033187mg
KQL26058	SETIT_032030mg
KQL26059	SETIT_032603mg
KQL26060	SETIT_033367mg
KQL26061	SETIT_032971mg
KQL26062	SETIT_030246mg
KQL26063	SETIT_032600mg
KQL26067	SETIT_029341mg
KQL26068	SETIT_029341mg
KQL26071	SETIT_033272mg
KQL26072	SETIT_030843mg
KQL26074	SETIT_032787mg
KQL26075	SETIT_032490mg
KQL26078	SETIT_033733mg
KQL26079	SETIT_033520mg
KQL26080	SETIT_031195mg
KQL26081	SETIT_033127mg
KQL26082	SETIT_031232mg
KQL26083	SETIT_030220mg
KQL26090	SETIT_029862mg
KQL26091	SETIT_030051mg
KQL26092	SETIT_029837mg
KQL26093	SETIT_029888mg
KQL26100	SETIT_031703mg
KQL26103	SETIT_033787mg
KQL26111	SETIT_032462mg
KQL26114	SETIT_033307mg
KQL26115	SETIT_033601mg
KQL26117	SETIT_031890mg
KQL26119	SETIT_029197mg
KQL26120	SETIT_029197mg
KQL26121	SETIT_029138mg
KQL26122	SETIT_032889mg
KQL26125	SETIT_030877mg
KQL26124	SETIT_030877mg
KQL26129	SETIT_033495mg
KQL26131	SETIT_033817mg
KQL26133	SETIT_031121mg
KQL26138	SETIT_032289mg
KQL26145	SETIT_033465mg
KQL26146	SETIT_032977mg
KQL26150	SETIT_029830mg
KQL26152	SETIT_031619mg
KQL26153	SETIT_031619mg
KQL26154	SETIT_031936mg
KQL26155	SETIT_033746mg
KQL26156	SETIT_032156mg
KQL26157	SETIT_031942mg
KQL26158	SETIT_032503mg
KQL26159	SETIT_033368mg
KQL26160	SETIT_029147mg
KQL26161	SETIT_032680mg
KQL26164	SETIT_030647mg
KQL26165	SETIT_031559mg
KQL26166	SETIT_033390mg
KQL26170	SETIT_030017mg
KQL26172	SETIT_033182mg
KQL26173	SETIT_032620mg
KQL26174	SETIT_032283mg
KQL26180	SETIT_028924mg
