TXNAME	GENEID
KQL28043	SETIT_020542mg
KQL28049	SETIT_018070mg
KQL28051	SETIT_020130mg
KQL28052	SETIT_020503mg
KQL28059	SETIT_016655mg
KQL28060	SETIT_016655mg
KQL28062	SETIT_018776mg
KQL28064	SETIT_019650mg
KQL28066	SETIT_017237mg
KQL28069	SETIT_016980mg
KQL28071	SETIT_016280mg
KQL28081	SETIT_016441mg
KQL28082	SETIT_019843mg
KQL28084	SETIT_018437mg
KQL28088	SETIT_019820mg
KQL28090	SETIT_019278mg
KQL28091	SETIT_019752mg
KQL28094	SETIT_017342mg
KQL28101	SETIT_017398mg
KQL28103	SETIT_017398mg
KQL28102	SETIT_017398mg
KQL28104	SETIT_019540mg
KQL28105	SETIT_017038mg
KQL28106	SETIT_019845mg
KQL28107	SETIT_020164mg
KQL28108	SETIT_019734mg
KQL28112	SETIT_017512mg
KQL28113	SETIT_017512mg
KQL28115	SETIT_017713mg
KQL28116	SETIT_018499mg
KQL28117	SETIT_018705mg
KQL28118	SETIT_018877mg
KQL28119	SETIT_018543mg
KQL28120	SETIT_018711mg
KQL28121	SETIT_020520mg
KQL28122	SETIT_020191mg
KQL28123	SETIT_019098mg
KQL28125	SETIT_018846mg
KQL28124	SETIT_020313mg
KQL28126	SETIT_020561mg
KQL28127	SETIT_019463mg
KQL28131	SETIT_018604mg
KQL28139	SETIT_019697mg
KQL28141	SETIT_016457mg
KQL28142	SETIT_016457mg
KQL28143	SETIT_018696mg
KQL28144	SETIT_017224mg
KQL28148	SETIT_019242mg
KQL28149	SETIT_020296mg
KQL28150	SETIT_019630mg
KQL28159	SETIT_019512mg
ENSRNA049910902-T1	ENSRNA049910902
KQL28160	SETIT_019222mg
ENSRNA049910903-T1	ENSRNA049910903
KQL28161	SETIT_019765mg
KQL28162	SETIT_019663mg
KQL28163	SETIT_019857mg
KQL28165	SETIT_017832mg
KQL28167	SETIT_016125mg
KQL28166	SETIT_016125mg
KQL28168	SETIT_016125mg
KQL28171	SETIT_019469mg
KQL28176	SETIT_016548mg
KQL28177	SETIT_020001mg
KQL28181	SETIT_017116mg
KQL28183	SETIT_016382mg
KQL28189	SETIT_016703mg
KQL28191	SETIT_017313mg
KQL28192	SETIT_017538mg
KQL28193	SETIT_020132mg
KQL28194	SETIT_019375mg
KQL28200	SETIT_020451mg
KQL28197	SETIT_018988mg
KQL28202	SETIT_020567mg
KQL28203	SETIT_018497mg
KQL28204	SETIT_018497mg
KQL28205	SETIT_018497mg
KQL28206	SETIT_020424mg
KQL28207	SETIT_016181mg
KQL28208	SETIT_019895mg
KQL28209	SETIT_018524mg
KQL28210	SETIT_020250mg
KQL28211	SETIT_017291mg
KQL28212	SETIT_018013mg
KQL28213	SETIT_018626mg
KQL28216	SETIT_016074mg
KQL28217	SETIT_018780mg
KQL28220	SETIT_019886mg
KQL28221	SETIT_016847mg
KQL28222	SETIT_020643mg
KQL28223	SETIT_018175mg
KQL28224	SETIT_018175mg
KQL28225	SETIT_020438mg
KQL28226	SETIT_017454mg
KQL28227	SETIT_018602mg
KQL28229	SETIT_018492mg
KQL28230	SETIT_018492mg
KQL28231	SETIT_018295mg
KQL28234	SETIT_017577mg
KQL28235	SETIT_016594mg
KQL28236	SETIT_019990mg
KQL28239	SETIT_017121mg
KQL28241	SETIT_017174mg
KQL28242	SETIT_019516mg
KQL28245	SETIT_018328mg
KQL28246	SETIT_018328mg
KQL28247	SETIT_018328mg
KQL28244	SETIT_018328mg
KQL28249	SETIT_018417mg
KQL28250	SETIT_020387mg
KQL28252	SETIT_018714mg
KQL28253	SETIT_016344mg
KQL28254	SETIT_016344mg
KQL28257	SETIT_020310mg
KQL28258	SETIT_016195mg
KQL28259	SETIT_0194102mg
KQL28260	SETIT_0194103mg
KQL28261	SETIT_0194101mg
KQL28262	SETIT_019194mg
KQL28263	SETIT_019494mg
KQL28264	SETIT_019284mg
ENSRNA050012411-T1	ENSRNA050012411
ENSRNA050012416-T1	ENSRNA050012416
KQL28270	SETIT_019817mg
KQL28271	SETIT_017210mg
KQL28272	SETIT_019143mg
KQL28273	SETIT_019936mg
KQL28274	SETIT_020647mg
KQL28276	SETIT_020181mg
KQL28277	SETIT_017294mg
KQL28278	SETIT_017294mg
KQL28283	SETIT_016588mg
KQL28287	SETIT_018504mg
KQL28288	SETIT_018504mg
KQL28289	SETIT_018504mg
KQL28290	SETIT_018504mg
KQL28293	SETIT_018211mg
KQL28294	SETIT_018508mg
KQL28295	SETIT_018508mg
KQL28296	SETIT_019000mg
KQL28299	SETIT_017573mg
KQL28301	SETIT_019118mg
KQL28302	SETIT_016753mg
KQL28303	SETIT_016269mg
KQL28305	SETIT_019784mg
KQL28306	SETIT_019352mg
KQL28307	SETIT_020596mg
KQL28308	SETIT_017646mg
KQL28310	SETIT_017002mg
KQL28312	SETIT_017002mg
KQL28311	SETIT_017002mg
KQL28313	SETIT_019243mg
KQL28314	SETIT_019931mg
KQL28315	SETIT_017422mg
KQL28318	SETIT_017847mg
KQL28320	SETIT_016128mg
KQL28321	SETIT_016080mg
KQL28325	SETIT_020088mg
KQL28326	SETIT_019600mg
KQL28327	SETIT_019344mg
KQL28328	SETIT_019174mg
KQL28329	SETIT_016184mg
KQL28330	SETIT_020103mg
KQL28331	SETIT_020157mg
KQL28332	SETIT_018363mg
KQL28333	SETIT_020008mg
KQL28335	SETIT_019430mg
KQL28336	SETIT_016912mg
KQL28337	SETIT_019901mg
KQL28342	SETIT_017008mg
KQL28343	SETIT_020315mg
KQL28344	SETIT_018606mg
KQL28345	SETIT_0168362mg
KQL28346	SETIT_0168361mg
KQL28347	SETIT_019099mg
KQL28349	SETIT_017155mg
KQL28350	SETIT_018683mg
KQL28351	SETIT_018683mg
KQL28352	SETIT_018683mg
KQL28353	SETIT_018683mg
KQL28354	SETIT_017345mg
KQL28355	SETIT_019251mg
KQL28356	SETIT_020188mg
KQL28358	SETIT_018523mg
KQL28360	SETIT_016918mg
KQL28359	SETIT_020392mg
KQL28361	SETIT_016411mg
KQL28362	SETIT_016123mg
KQL28364	SETIT_019718mg
KQL28365	SETIT_019236mg
KQL28368	SETIT_019183mg
KQL28369	SETIT_018558mg
KQL28370	SETIT_020345mg
KQL28371	SETIT_018970mg
KQL28372	SETIT_018649mg
KQL28373	SETIT_018859mg
KQL28374	SETIT_018935mg
KQL28375	SETIT_018082mg
KQL28377	SETIT_016917mg
KQL28378	SETIT_0206502mg
KQL28379	SETIT_0206501mg
KQL28380	SETIT_020475mg
KQL28381	SETIT_0172532mg
KQL28382	SETIT_0172531mg
KQL28386	SETIT_020343mg
KQL28387	SETIT_018616mg
KQL28388	SETIT_020031mg
KQL28389	SETIT_019995mg
KQL28390	SETIT_017359mg
KQL28394	SETIT_016954mg
KQL28396	SETIT_017544mg
KQL28398	SETIT_017021mg
KQL28402	SETIT_019065mg
KQL28406	SETIT_019286mg
KQL28407	SETIT_020010mg
KQL28409	SETIT_020337mg
KQL28413	SETIT_016229mg
KQL28415	SETIT_018050mg
KQL28416	SETIT_020271mg
KQL28417	SETIT_018806mg
KQL28420	SETIT_017103mg
KQL28421	SETIT_018126mg
KQL28422	SETIT_018405mg
KQL28424	SETIT_018603mg
KQL28425	SETIT_016630mg
KQL28426	SETIT_016214mg
KQL28427	SETIT_016214mg
KQL28428	SETIT_018927mg
ENSRNA049910905-T1	ENSRNA049910905
KQL28439	SETIT_018976mg
KQL28440	SETIT_018976mg
KQL28443	SETIT_018128mg
KQL28444	SETIT_018873mg
KQL28447	SETIT_018657mg
KQL28451	SETIT_016148mg
KQL28452	SETIT_016576mg
KQL28455	SETIT_017366mg
KQL28457	SETIT_017978mg
KQL28458	SETIT_017936mg
KQL28459	SETIT_019038mg
KQL28460	SETIT_019548mg
ENSRNA049910907-T1	ENSRNA049910907
KQL28465	SETIT_0199792mg
KQL28466	SETIT_0199791mg
KQL28467	SETIT_018662mg
KQL28468	SETIT_016605mg
KQL28469	SETIT_018919mg
KQL28472	SETIT_018423mg
KQL28476	SETIT_016666mg
KQL28477	SETIT_018386mg
KQL28480	SETIT_018870mg
KQL28483	SETIT_019179mg
KQL28485	SETIT_017840mg
KQL28486	SETIT_019764mg
KQL28489	SETIT_017602mg
KQL28490	SETIT_018812mg
KQL28491	SETIT_018812mg
KQL28492	SETIT_020639mg
KQL28493	SETIT_016161mg
KQL28494	SETIT_018797mg
KQL28495	SETIT_016339mg
KQL28496	SETIT_016339mg
KQL28497	SETIT_016339mg
KQL28498	SETIT_017047mg
KQL28507	SETIT_016618mg
KQL28514	SETIT_019804mg
KQL28517	SETIT_017293mg
KQL28518	SETIT_017293mg
KQL28521	SETIT_017608mg
KQL28524	SETIT_017672mg
KQL28531	SETIT_017284mg
KQL28533	SETIT_016209mg
KQL28539	SETIT_017310mg
KQL28540	SETIT_017310mg
KQL28543	SETIT_018151mg
KQL28544	SETIT_018151mg
KQL28545	SETIT_018151mg
KQL28546	SETIT_018151mg
KQL28548	SETIT_019616mg
KQL28549	SETIT_018183mg
KQL28550	SETIT_018886mg
KQL28553	SETIT_016621mg
KQL28556	SETIT_018922mg
KQL28560	SETIT_019535mg
KQL28561	SETIT_017436mg
KQL28562	SETIT_018611mg
KQL28564	SETIT_018534mg
KQL28566	SETIT_018361mg
KQL28567	SETIT_018275mg
KQL28570	SETIT_019848mg
KQL28575	SETIT_017353mg
KQL28576	SETIT_020421mg
KQL28577	SETIT_018769mg
KQL28579	SETIT_020444mg
KQL28580	SETIT_020305mg
KQL28581	SETIT_017217mg
KQL28584	SETIT_016131mg
KQL28586	SETIT_020318mg
KQL28587	SETIT_016249mg
KQL28588	SETIT_016249mg
KQL28590	SETIT_016249mg
KQL28589	SETIT_016249mg
KQL28593	SETIT_019685mg
KQL28599	SETIT_020081mg
KQL28601	SETIT_018403mg
KQL28603	SETIT_018785mg
KQL28616	SETIT_016055mg
KQL28617	SETIT_020108mg
KQL28619	SETIT_018598mg
KQL28623	SETIT_017023mg
KQL28624	SETIT_017023mg
KQL28625	SETIT_017023mg
KQL28626	SETIT_017023mg
KQL28627	SETIT_017023mg
KQL28628	SETIT_016868mg
KQL28629	SETIT_016868mg
KQL28630	SETIT_016868mg
KQL28632	SETIT_017675mg
KQL28638	SETIT_017133mg
KQL28639	SETIT_018962mg
KQL28643	SETIT_020255mg
KQL28649	SETIT_0201942mg
KQL28650	SETIT_0201941mg
KQL28651	SETIT_017631mg
KQL28652	SETIT_017878mg
KQL28653	SETIT_019680mg
KQL28657	SETIT_018498mg
KQL28658	SETIT_017772mg
KQL28659	SETIT_018290mg
KQL28662	SETIT_016830mg
KQL28663	SETIT_018254mg
ENSRNA050012408-T1	ENSRNA050012408
ENSRNA050012407-T1	ENSRNA050012407
KQL28667	SETIT_016561mg
KQL28668	SETIT_016561mg
KQL28669	SETIT_020178mg
KQL28670	SETIT_016488mg
KQL28671	SETIT_016526mg
KQL28672	SETIT_016523mg
KQL28673	SETIT_019815mg
KQL28674	SETIT_020166mg
KQL28675	SETIT_019130mg
KQL28676	SETIT_016982mg
KQL28681	SETIT_016496mg
KQL28684	SETIT_019260mg
KQL28685	SETIT_019813mg
KQL28686	SETIT_019884mg
KQL28687	SETIT_0193042mg
KQL28688	SETIT_0193041mg
KQL28689	SETIT_020142mg
KQL28690	SETIT_019427mg
KQL28693	SETIT_019741mg
KQL28694	SETIT_019932mg
KQL28695	SETIT_020141mg
KQL28696	SETIT_020044mg
KQL28697	SETIT_016468mg
KQL28698	SETIT_019206mg
KQL28699	SETIT_019587mg
KQL28701	SETIT_016175mg
KQL28702	SETIT_019283mg
KQL28703	SETIT_016170mg
KQL28704	SETIT_019531mg
KQL28705	SETIT_016179mg
KQL28706	SETIT_019488mg
KQL28708	SETIT_018570mg
KQL28709	SETIT_018570mg
KQL28710	SETIT_016066mg
KQL28711	SETIT_018076mg
KQL28712	SETIT_017159mg
KQL28713	SETIT_019025mg
KQL28718	SETIT_016427mg
KQL28721	SETIT_016857mg
KQL28722	SETIT_019294mg
KQL28723	SETIT_016287mg
KQL28724	SETIT_020331mg
KQL28725	SETIT_019289mg
KQL28728	SETIT_019010mg
KQL28730	SETIT_019086mg
KQL28731	SETIT_016661mg
KQL28732	SETIT_020035mg
KQL28734	SETIT_018539mg
KQL28737	SETIT_017150mg
KQL28738	SETIT_019700mg
KQL28739	SETIT_018734mg
KQL28741	SETIT_016577mg
KQL28742	SETIT_019007mg
KQL28749	SETIT_017554mg
KQL28753	SETIT_018885mg
KQL28758	SETIT_019234mg
KQL28765	SETIT_017281mg
KQL28766	SETIT_019196mg
KQL28770	SETIT_017874mg
KQL28771	SETIT_016213mg
KQL28772	SETIT_016147mg
KQL28775	SETIT_019860mg
KQL28776	SETIT_020355mg
KQL28777	SETIT_016614mg
KQL28778	SETIT_016614mg
KQL28779	SETIT_016614mg
KQL28780	SETIT_016614mg
KQL28781	SETIT_019921mg
KQL28782	SETIT_020351mg
KQL28783	SETIT_019767mg
KQL28784	SETIT_016615mg
