Gene	tpm_avg
ENSRNA050012234	0
ENSRNA050012236	0
ENSRNA050012238	0
ENSRNA050012240	0
ENSRNA050012241	0
ENSRNA050012243	0
ENSRNA050012246	0
ENSRNA050012248	0
ENSRNA050012251	0
ENSRNA050012253	0
ENSRNA050012254	0
ENSRNA050012257	0
ENSRNA050012258	0
ENSRNA050012260	0
ENSRNA050012262	0
ENSRNA050012265	0
ENSRNA050012267	0
ENSRNA050012270	0
ENSRNA050012272	0
ENSRNA050012275	0
ENSRNA050012277	0
ENSRNA050012281	0
ENSRNA050012283	0
ENSRNA050012285	22.2239795
ENSRNA050012288	0
ENSRNA050012291	0
ENSRNA050012292	0
ENSRNA050012294	0
ENSRNA050012296	0
ENSRNA050012298	0
ENSRNA050012300	0
ENSRNA050012303	0
ENSRNA050012306	0
ENSRNA050012312	0
ENSRNA050012313	0
ENSRNA050012321	0
ENSRNA050012322	0
ENSRNA050012324	0
ENSRNA050012326	0
ENSRNA050012328	0
ENSRNA050012329	0
ENSRNA050012331	0
ENSRNA050012334	0
ENSRNA050012335	0
ENSRNA050012338	0
ENSRNA050012340	0
ENSRNA050012342	4.7738085
ENSRNA050012346	0
ENSRNA050012348	0
ENSRNA050012350	0
ENSRNA050012352	0
ENSRNA050012356	0
ENSRNA050012358	1.3784475
ENSRNA050012360	0
ENSRNA050012362	0
ENSRNA050012363	0
ENSRNA050012366	0
ENSRNA050012368	0
ENSRNA050012369	0
ENSRNA050012371	0
ENSRNA050012373	0
ENSRNA050012376	0
ENSRNA050012378	0
ENSRNA050012380	0
ENSRNA050012382	0
ENSRNA050012384	0
ENSRNA050012385	0
ENSRNA050012388	2.6913795
ENSRNA050012391	0
ENSRNA050012393	0
ENSRNA050012394	0
ENSRNA050012396	0
ENSRNA050012403	0
ENSRNA050012405	0
ENSRNA050012407	0
ENSRNA050012408	0
ENSRNA050012411	0
ENSRNA050012415	0
ENSRNA050012416	0
ENSRNA050012418	0
ENSRNA050012419	0
ENSRNA050012420	1.984934
ENSRNA050012421	0
ENSRNA050012423	0
ENSRNA050012431	0
ENSRNA050012432	0
ENSRNA050012433	0
ENSRNA050012437	0
ENSRNA050012439	0
ENSRNA050012441	0
ENSRNA050012443	0
ENSRNA050012446	0
ENSRNA050012448	0
ENSRNA050012449	0
ENSRNA050012452	0
ENSRNA050012453	0
ENSRNA050012455	0
ENSRNA050012457	0
ENSRNA050012459	0
ENSRNA050012461	0
ENSRNA050012464	0
ENSRNA050012470	0
ENSRNA050012472	0
ENSRNA050012474	0
ENSRNA050012478	0
ENSRNA050012480	0
ENSRNA050012481	0
ENSRNA050012483	0
ENSRNA050012486	0
ENSRNA050012487	0
ENSRNA050012490	0
ENSRNA050012492	0
ENSRNA050012497	0
ENSRNA050012499	0
ENSRNA050012501	0
ENSRNA050012503	0
ENSRNA050012505	0
ENSRNA050012507	0
ENSRNA050012509	0
ENSRNA050012511	0
ENSRNA050012517	0
ENSRNA050012519	0
ENSRNA050012522	0
ENSRNA050012524	0
ENSRNA050012526	0
ENSRNA050012529	0
ENSRNA050012531	0
ENSRNA050012533	0
ENSRNA050012535	0
ENSRNA050012537	0
ENSRNA050012540	0
ENSRNA050012542	0
ENSRNA050012544	0
ENSRNA050012548	0
ENSRNA050012550	0
ENSRNA050012553	0
ENSRNA050012558	0
ENSRNA050012560	0
ENSRNA050012562	3.308274
ENSRNA050012565	0
ENSRNA050012567	0
ENSRNA050012569	0
ENSRNA050012574	0
ENSRNA050012576	0
ENSRNA050012578	0
ENSRNA050012580	0
ENSRNA050012583	0
ENSRNA050012585	0
ENSRNA050012587	0
ENSRNA050012589	0
ENSRNA050012591	0
ENSRNA050012598	0
ENSRNA050012600	0
ENSRNA050012601	0
ENSRNA050012630	4711.792631
ENSRNA050012633	0
ENSRNA050012635	8963.4386125
ENSRNA050012637	231.823674
ENSRNA050012639	38.325851
ENSRNA050012641	38.844975
ENSRNA050012644	37.9834345
ENSRNA050012646	7.088334
ENSRNA050012648	3.0140555
ENSRNA050012650	2.538198
ENSRNA050012652	3.3448745
ENSRNA050012655	42.919616
ENSRNA050012657	27.9578815
ENSRNA050012659	131.313072
ENSRNA050012661	5.235895
ENSRNA050012664	0
ENSRNA050012675	7527.2405505
ENSRNA050012678	23.039646
ENSRNA050012680	0
ENSRNA050012682	0
ENSRNA050012685	0
ENSRNA050012687	0
ENSRNA050012688	0
ENSRNA050012690	0
ENSRNA050012695	0
ENSRNA050012699	0
ENSRNA050012701	0
ENSRNA050012703	0
ENSRNA050012705	0
ENSRNA050012707	0
ENSRNA050012709	0
ENSRNA050012711	0
ENSRNA050012725	0
ENSRNA050012730	0
ENSRNA050012732	0
SETIT_000001mg	6.1881515
SETIT_000002mg	7.9573865
SETIT_000003mg	18.019931
SETIT_000006mg	40.712015
SETIT_000007mg	10.9276245
SETIT_000008mg	18.425975
SETIT_000012mg	45.1553495
SETIT_000015mg	18.3463675
SETIT_000017mg	5.876922
SETIT_000018mg	8.0116005
SETIT_000020mg	2.6089975
SETIT_000021mg	4.645818
SETIT_000023mg	7.105548
SETIT_000024mg	19.261616
SETIT_000025mg	42.530336
SETIT_000026mg	3.09151
SETIT_000027mg	1.865809
SETIT_000028mg	37.8013665
SETIT_000029mg	701.167567
SETIT_000030mg	61.2871645
SETIT_000032mg	19.8654855
SETIT_000033mg	6.488995
SETIT_000034mg	13.391827
SETIT_000036mg	12.4249005
SETIT_000037mg	13.405743
SETIT_000038mg	0.9890885
SETIT_0000391mg	7.304872
SETIT_0000392mg	5.374715
SETIT_000040mg	1.3643885
SETIT_000041mg	29.890801
SETIT_000042mg	0
SETIT_000043mg	3.259717
SETIT_000044mg	0.424517
SETIT_000045mg	3.3996935
SETIT_000046mg	19.0202875
SETIT_000048mg	19.5952255
SETIT_0000491mg	21.5479625
SETIT_0000492mg	57.5482585
SETIT_000050mg	3.4509665
SETIT_000051mg	103.2045055
SETIT_000053mg	5.3485425
SETIT_000054mg	1.296653
